HOG	OG	Gene Tree Parent Clade	Aar	Ath	Chi	Cru	Tar
N0.HOG0000023	OG0000001	n1	Aa31LG7G10980	AT4G03292.1			
N0.HOG0000024	OG0000001	n6	Aa31LG7G10990, Aa31sc214G50				
N0.HOG0000025	OG0000001	n9	Aa31sc883G20, Aa31LG9G3130, Aa31sc502G20, Aa31sc248G30, Aa31sc85G20, Aa31sc88G20, Aa31LG6G15220, Aa31sc755G20				
N0.HOG0000026	OG0000001	n19	Aa31sc414G10, Aa31sc149G40				
N0.HOG0000027	OG0000001	n21	Aa31LG11G6920, Aa31LG9G1710, Aa31LG3G5350, Aa31LG8G11700				
N0.HOG0000028	OG0000001	n26	Aa31sc244G40		CARHR248000.1		
N0.HOG0000029	OG0000001	n27	Aa31LG9G11500		CARHR058160.1		
N0.HOG0000030	OG0000001	n28	Aa31LG3G6660, Aa31sc231G40, Aa31sc85G30, Aa31csc22G180, Aa31sc103G50, Aa31LG8G10670, Aa31sc397G20, Aa31sc201G50, Aa31LG3G3870, Aa31LG7G11410, Aa31LG7G11420, Aa31LG11G9560, Aa31LG1G7570, Aa31LG11G8620, Aa31LG1G4180, Aa31LG9G9420, Aa31sc142G30, Aa31sc222G90, Aa31sc51G20, Aa31sc320G60, Aa31sc118G20, Aa31sc320G40, Aa31LG9G5080, Aa31LG9G6690, Aa31sc808G20, Aa31sc249G40, Aa31LG7G11950, Aa31sc407G40, Aa31sc434G50, Aa31LG8G12700, Aa31sc74G100, Aa31sc373G30, Aa31sc60G120, Aa31LG7G10790, Aa31LG1G5990, Aa31sc180G30, Aa31sc1063G10, Aa31sc1139G10, Aa31LG2G17640, Aa31LG6G6890, Aa31sc113G10, Aa31sc42G60, Aa31LG8G10420, Aa31LG2G18910, Aa31sc174G40, Aa31sc61G120, Aa31sc449G20, Aa31LG7G12480, Aa31sc95G40, Aa31LG10G9760, Aa31LG3G5520, Aa31sc730G10, Aa31sc149G70, Aa31LG3G12250, Aa31LG2G19430, Aa31sc302G30, Aa31LG7G13400, Aa31LG2G19820, Aa31LG5G21780, Aa31LG3G6250, Aa31sc1594G10, Aa31LG3G7040, Aa31LG11G6910, Aa31sc571G20, Aa31sc18G180, Aa31sc397G30				
N0.HOG0000031	OG0000001	n93	Aa31LG1G4960, Aa31LG10G9920, Aa31sc52G80, Aa31LG9G1250, Aa31sc387G30, Aa31LG5G24110, Aa31LG10G10270, Aa31sc883G10, Aa31LG2G16130, Aa31sc188G10, Aa31LG6G5970, Aa31sc449G30, Aa31sc320G50, Aa31sc210G60, Aa31sc270G40, Aa31sc210G70, Aa31sc295G10, Aa31LG7G13940, Aa31sc230G10, Aa31sc98G30, Aa31LG2G18830, Aa31sc25G50, Aa31LG4G9030, Aa31LG7G11490, Aa31LG5G24120, Aa31LG9G3490, Aa31sc755G10, Aa31LG8G10880, Aa31sc1234G10, Aa31LG2G17420, Aa31LG7G11290, Aa31sc480G10				
N0.HOG0000032	OG0000001	n124		ATMG00310.1, AT2G02650.1, AT4G09775.1			
N0.HOG0000033	OG0000002	n0		AT3G14030.1, AT4G17200.1, AT3G13680.1, AT3G49520.1, AT1G54550.1, AT3G49510.1, AT1G66490.1, AT1G59680.2, AT3G13820.1, AT1G25055.1, AT1G25150.1, AT1G24881.1, AT1G24800.1, AT1G25211.1, AT3G20030.1, AT5G60560.2, AT4G05080.1, AT1G32140.1, AT3G19890.1, AT1G67455.1, AT1G67450.1, AT3G19560.1, AT5G51000.1, AT3G17620.1, AT3G16880.1, AT3G24580.1, AT5G36730.1, AT5G36820.1, AT5G36200.1, AT3G16820.1, AT2G17830.1, AT5G42460.1, AT3G16740.1, AT2G18780.1, AT3G17320.1	CARHR088850.1, CARHR088410.1, CARHR088870.1, CARHR223800.1, CARHR154640.1, CARHR262270.1, CARHR223770.1, CARHR223790.1, CARHR088860.1, CARHR158530.1, CARHR158510.1, CARHR158520.1, CARHR100950.1, CARHR088150.1, CARHR088590.1, CARHR162370.1, CARHR025790.1, CARHR260760.1, CARHR260790.1, CARHR134370.1, CARHR095910.1, CARHR095400.1, CARHR095410.1, CARHR060010.1, CARHR059990.1, CARHR060020.1, CARHR050100.1, CARHR050080.1, CARHR050210.1, CARHR094990.1, CARHR155460.1, CARHR095000.1, CARHR286530.1, CARHR257200.1, CARHR257260.1, CARHR257190.1, CARHR026350.1, CARHR047250.1, CARHR214390.1, CARHR090170.1, CARHR127660.1, CARHR098580.1, CARHR108270.1, CARHR108320.1, CARHR108730.1, CARHR108330.1, CARHR135370.1, CARHR108250.1, CARHR107830.1, CARHR092000.1, CARHR094270.1, CARHR213510.1, CARHR092620.1, CARHR092630.1, CARHR213520.1	Carub.0003s1362.1.p, Carub.0001s1047.1.p, Carub.0003s1313.1.p, Carub.0003s1310.1.p, Carub.0003s1235.1.p, Carub.0003s1334.1.p, Carub.0005s1584.1.p, Carub.0003s1295.1.p, Carub.0005s2337.1.p, Carub.0008s1500.1.p, Carub.0001s2536.1.p, Carub.0001s2538.1.p, Carub.0001s2537.1.p, Carub.0003s1975.1.p, Carub.0004s0575.1.p, Carub.0003s2032.1.p, Carub.0003s1995.1.p, Carub.0001s3046.1.p, Carub.0003s1978.1.p, Carub.0002s1378.1.p, Carub.0002s0302.1.p, Carub.0008s0140.1.p, Carub.0003s1940.1.p, Carub.0003s2963.1.p, Carub.0002s0645.1.p, Carub.0003s1661.1.p, Carub.0007s3209.1.p, Carub.0001s3510.1.p, Carub.0003s3197.1.p, Carub.0003s1653.1.p, Carub.0003s1761.1.p, Carub.0003s1760.1.p, Carub.0006s2303.1.p, Carub.0003s1703.1.p	gene-TAV2_LOCUS5581, gene-TAV2_LOCUS9377
N0.HOG0000034	OG0000003	n0	Aa31LG6G11630, Aa31LG6G11650, Aa31sc276G50, Aa31LG6G10890, Aa31LG4G10940, Aa31LG6G10870, Aa31LG6G12190, Aa31LG6G10760, Aa31LG6G10790, Aa31LG6G10800, Aa31LG2G16680, Aa31LG8G12260, Aa31sc55G90, Aa31LG7G12900, Aa31sc503G10, Aa31sc958G20, Aa31LG6G11620, Aa31LG6G10460, Aa31LG6G10880, Aa31LG6G10730, Aa31LG11G8560, Aa31LG6G10820, Aa31LG6G10840, Aa31LG6G12200, Aa31LG6G10920, Aa31LG6G10830, Aa31LG6G10810, Aa31LG1G6280, Aa31LG1G6300, Aa31LG1G6340, Aa31LG1G8150, Aa31LG1G6290, Aa31LG1G6310, Aa31LG7G11320, Aa31LG7G11450, Aa31LG3G13420, Aa31LG6G10520, Aa31LG11G9030, Aa31LG11G9310, Aa31LG10G8150, Aa31LG6G10770, Aa31LG6G13320, Aa31sc52G30, Aa31LG6G12260, Aa31LG10G10840, Aa31LG6G12170, Aa31LG6G10650, Aa31LG6G12160, Aa31LG6G10680, Aa31LG6G10660, Aa31LG6G10700, Aa31sc276G10, Aa31LG6G6520, Aa31sc276G40, Aa31LG7G11200, Aa31sc276G30, Aa31LG6G12180, Aa31LG6G12210, Aa31LG8G1880, Aa31LG1G19670, Aa31LG8G1900, Aa31LG6G10640, Aa31LG11G6130, Aa31LG11G6200, Aa31LG11G6190, Aa31LG11G6350, Aa31LG11G6240, Aa31LG11G6260, Aa31LG11G6320, Aa31LG11G6290, Aa31LG11G6250, Aa31LG11G6230, Aa31LG4G6600, Aa31LG4G2970, Aa31LG4G2980, Aa31LG6G10430, Aa31LG6G10450, Aa31LG6G10470, Aa31LG6G10440, Aa31LG6G12150, Aa31LG8G12550, Aa31LG6G12080, Aa31LG6G12090, Aa31LG6G10620, Aa31LG4G4140, Aa31LG6G10630, Aa31LG5G23830, Aa31LG5G23860, Aa31LG6G12110, Aa31LG6G10550, Aa31LG7G12730, Aa31LG7G12760, Aa31LG7G12740, Aa31LG6G12100, Aa31LG8G12630, Aa31LG6G10600, Aa31LG6G10610, Aa31LG6G10570, Aa31LG6G12130, Aa31LG6G10580		CARHR030590.1		
N0.HOG0000035	OG0000004	n0		AT3G51700.1, AT3G51690.1, AT5G28780.1	CARHR161300.1, CARHR161290.1, CARHR161310.1, CARHR161340.1, CARHR161350.1, CARHR111800.1, CARHR118900.1, CARHR103540.1, CARHR293430.1, CARHR164530.1, CARHR288670.1, CARHR288680.1, CARHR103530.1, CARHR181300.1, CARHR217020.1, CARHR259120.1, CARHR046080.1, CARHR257810.1, CARHR116420.1, CARHR104250.1, CARHR131120.1, CARHR038360.1, CARHR257900.1, CARHR218380.1, CARHR286450.1, CARHR051890.1, CARHR217850.1, CARHR258310.1, CARHR035440.1, CARHR035430.1, CARHR217860.1, CARHR119350.1, CARHR178960.1, CARHR214330.1, CARHR286130.1, CARHR031010.1, CARHR055400.1, CARHR216990.1, CARHR118910.1, CARHR218770.1, CARHR150550.1, CARHR217880.1, CARHR117390.1, CARHR117380.1, CARHR149870.1, CARHR056560.1, CARHR221030.1, CARHR291920.1, CARHR284250.1, CARHR114980.1, CARHR046120.1, CARHR114970.1, CARHR115010.1, CARHR034850.1, CARHR215010.1, CARHR215020.1, CARHR181140.1, CARHR102600.1, CARHR101920.1, CARHR101910.1, CARHR057530.1, CARHR217630.1, CARHR103370.1, CARHR287690.1, CARHR266460.1, CARHR266470.1, CARHR117450.1, CARHR118640.1, CARHR182610.1, CARHR101250.1, CARHR159360.1	Carub.0005s1781.1.p, Carub.0045s0003.1.p	
N0.HOG0000036	OG0000005	n1	Aa31LG2G6180	AT3G26210.1	CARHR147240.1	Carub.0005s0411.1.p	
N0.HOG0000037	OG0000005	n5	Aa31LG1G1690, Aa31LG1G1700	AT1G13110.1, AT1G13100.1, AT3G26830.1, AT1G13090.2	CARHR013480.1, CARHR013460.1, CARHR013450.1	Carub.0003s2974.1.p, Carub.0005s0492.1.p, Carub.0001s3889.1.p	
N0.HOG0000038	OG0000005	n19	Aa31LG1G1710			Carub.0001s1283.1.p	
N0.HOG0000039	OG0000005	n20	Aa31LG1G1720	AT1G13080.1	CARHR239390.1, CARHR013400.1, CARHR013410.1, CARHR013420.1, CARHR013430.1, CARHR013440.1	Carub.0003s1802.1.p, Carub.0001s1282.1.p	
N0.HOG0000040	OG0000005	n29		AT3G26180.1, AT3G26170.1, AT3G26150.1, AT3G26160.1, AT3G26230.1, AT3G26220.1, AT3G26270.1, AT3G26280.2	CARHR147210.1, CARHR147190.1, CARHR147200.1, CARHR147250.1, CARHR147260.1, CARHR147270.1, CARHR147280.1	Carub.0005s0410.1.p, Carub.0005s0407.1.p, Carub.0005s0409.1.p, Carub.0005s0408.1.p, Carub.0005s0414.1.p, Carub.0005s0413.1.p, Carub.0005s0412.1.p, Carub.0005s0416.1.p	
N0.HOG0000041	OG0000005	n52	Aa31LG8G11810, Aa31LG2G6190, Aa31LG2G6200	AT3G26190.1, AT3G26200.1	CARHR147220.1, CARHR147230.1		
N0.HOG0000042	OG0000005	n58	Aa31LG10G8480	AT3G53290.1, AT5G35715.1, AT3G53305.1, AT3G53300.1, AT3G44250.1, AT3G53280.1	CARHR163190.1, CARHR152990.1, CARHR260720.1, CARHR163200.1, CARHR163180.1	Carub.0005s1983.1.p, Carub.0005s1985.1.p, Carub.0005s1984.1.p, Carub.0005s1982.1.p	
N0.HOG0000043	OG0000006	n0		AT2G13770.1, AT5G35490.1	CARHR111840.1, CARHR055190.1, CARHR057560.1, CARHR100700.1, CARHR106520.1, CARHR258710.1, CARHR216900.1, CARHR058800.1, CARHR184100.1, CARHR183870.1, CARHR121710.1, CARHR154010.1, CARHR214530.1, CARHR180980.1, CARHR293410.1, CARHR117490.1, CARHR287750.1, CARHR115290.1, CARHR216870.1, CARHR052910.1, CARHR214540.1, CARHR256390.1, CARHR128840.1, CARHR262640.1, CARHR152010.1, CARHR262650.1, CARHR257960.1, CARHR128850.1, CARHR183200.1, CARHR060220.1, CARHR051840.1, CARHR058310.1, CARHR266890.1, CARHR271650.1, CARHR055800.1, CARHR029270.1, CARHR156020.1, CARHR100290.1, CARHR221610.1, CARHR133710.1, CARHR060230.1, CARHR271640.1, CARHR029260.1, CARHR051850.1, CARHR156010.1, CARHR058320.1, CARHR129000.1, CARHR216050.1, CARHR151410.1, CARHR032440.1, CARHR064670.1, CARHR096020.1, CARHR144660.1, CARHR057030.1, CARHR052510.1, CARHR060330.1, CARHR257440.1, CARHR100300.1, CARHR221620.1, CARHR054390.1, CARHR286510.1, CARHR263110.1, CARHR150730.1, CARHR054400.1, CARHR024460.1, CARHR096030.1, CARHR099640.1, CARHR266880.1, CARHR216040.1, CARHR182520.1, CARHR180780.1, CARHR182530.1		
N0.HOG0000044	OG0000007	n1	Aa31LG10G3780	AT1G50520.1, AT1G50560.1	CARHR040560.1	Carub.0001s3959.1.p	gene-TAV2_LOCUS2650
N0.HOG0000045	OG0000007	n7	Aa31LG8G6870, Aa31LG8G6880	AT3G20100.1, AT3G32047.1, AT2G14100.1, AT5G42580.1, AT4G15330.1, AT3G20130.1, AT4G15360.1, AT2G05180.1, AT3G20960.2, AT3G20090.2, AT5G47990.1, AT4G15350.1, AT3G20950.1, AT3G20935.1, AT3G20940.1, AT2G27010.1, AT2G27000.1, AT4G15380.1, AT3G20080.2, AT3G20140.1	CARHR095610.1, CARHR096820.1, CARHR096830.1, CARHR095680.1, CARHR097220.1, CARHR095670.1, CARHR095690.1, CARHR106140.1, CARHR106130.1, CARHR119260.1, CARHR119250.1, CARHR122510.1, CARHR095640.1, CARHR055760.1, CARHR095620.1, CARHR095650.1, CARHR095660.1	Carub.0003s2000.1.p, Carub.0005s0773.1.p, Carub.0003s2669.1.p, Carub.0003s2092.1.p, Carub.0006s3567.1.p, Carub.0004s0748.1.p, Carub.0004s0749.1.p, Carub.0003s2001.1.p, Carub.0003s2002.1.p, Carub.0003s2005.1.p	gene-TAV2_LOCUS10860, gene-TAV2_LOCUS9109, gene-TAV2_LOCUS19618, gene-TAV2_LOCUS8994, gene-TAV2_LOCUS8993, gene-TAV2_LOCUS9016, gene-TAV2_LOCUS9906, gene-TAV2_LOCUS18896, gene-TAV2_LOCUS8995, gene-TAV2_LOCUS9110, gene-TAV2_LOCUS23727
N0.HOG0000046	OG0000007	n66	Aa31LG4G9510, Aa31LG8G6910	AT3G20120.4, AT3G20110.1	CARHR106120.1	Carub.0003s2004.1.p, Carub.0003s2003.1.p	
N0.HOG0000047	OG0000008	n0	Aa31LG3G6790, Aa31sc154G40	AT5G38250.1, AT5G38240.1, AT5G39020.1, AT1G36005.1, AT5G39030.1, AT5G38260.1, AT4G18250.1, AT1G70250.1, AT5G38280.2, AT1G66910.1, AT1G66920.2, AT1G67000.1, AT1G66930.2	CARHR214430.1, CARHR214400.1, CARHR257300.1, CARHR257310.1, CARHR263400.1, CARHR263410.1, CARHR263450.1, CARHR214340.1, CARHR214350.1, CARHR214380.1, CARHR225000.1, CARHR225010.1, CARHR138710.1, CARHR063370.1, CARHR214320.1, CARHR059200.1, CARHR059070.1, CARHR059160.1, CARHR059260.1, CARHR059130.1, CARHR059150.1, CARHR059140.1, CARHR059230.1, CARHR059080.1, CARHR059090.1, CARHR059400.1, CARHR059360.1, CARHR263420.1, CARHR059270.1, CARHR059320.1, CARHR059250.1, CARHR124320.1	Carub.0005s1261.1.p, Carub.0005s1263.1.p, Carub.0007s3683.1.p, Carub.0005s1268.1.p, Carub.0005s1269.1.p, Carub.0005s1264.1.p, Carub.0007s2308.1.p, Carub.0007s2305.1.p, Carub.0007s2307.1.p, Carub.0004s2607.1.p, Carub.0001s3241.1.p, Carub.0005s1270.1.p, Carub.0005s1271.1.p, Carub.0005s1272.1.p, Carub.0002s1316.1.p, Carub.0002s1318.1.p, Carub.0001s3353.1.p, Carub.0002s1317.1.p, Carub.0002s1319.1.p, Carub.0002s1315.1.p, Carub.0002s1320.1.p, Carub.0120s0001.1.p, Carub.0002s1326.1.p, Carub.0002s1321.1.p	gene-TAV2_LOCUS23098, gene-TAV2_LOCUS15323
N0.HOG0000048	OG0000009	n0		AT4G11770.1, AT4G11750.1, AT4G11745.1, AT1G77880.1, AT4G39580.1, AT1G48190.1, AT5G49000.2, AT4G39560.1, AT1G19930.1, AT1G60570.1, AT4G39570.1, AT4G39550.1, AT3G43710.1, AT4G39290.1, AT4G34170.1, AT4G33900.1, AT4G23580.1	CARHR254540.1, CARHR254570.1, CARHR254550.1, CARHR254600.1, CARHR146390.1, CARHR247140.1, CARHR103020.1, CARHR174400.1, CARHR285960.1, CARHR286150.1, CARHR286160.1, CARHR286200.1, CARHR286190.1, CARHR286180.1, CARHR105240.1, CARHR214110.1, CARHR247160.1, CARHR164660.1, CARHR164670.1, CARHR247180.1, CARHR221070.1, CARHR247150.1, CARHR228300.1, CARHR163670.1, CARHR083750.1, CARHR083760.1, CARHR228310.1, CARHR254090.1	Carub.0006s3084.1.p, Carub.0006s3086.1.p, Carub.0007s0257.1.p, Carub.0007s0145.1.p, Carub.0006s3192.1.p, Carub.0004s0042.1.p, Carub.0008s1011.1.p, Carub.0008s0879.1.p, Carub.0008s0876.1.p, Carub.0008s0880.1.p, Carub.0008s0881.1.p, Carub.0007s0143.1.p, Carub.0005s2133.1.p, Carub.0008s0921.1.p, Carub.0002s0527.1.p, Carub.0007s0142.1.p, Carub.0007s0144.1.p, Carub.0002s0795.1.p, Carub.0002s0800.1.p, Carub.0007s1979.1.p, Carub.0007s0623.1.p, Carub.0007s0653.1.p	gene-TAV2_LOCUS20255, gene-TAV2_LOCUS9221, gene-TAV2_LOCUS9226
N0.HOG0000049	OG0000010	n1	Aa31LG11G12980	AT5G16640.1	CARHR196550.1	Carub.0006s1485.1.p	gene-TAV2_LOCUS21206
N0.HOG0000050	OG0000010	n6		AT1G64583.1, AT1G06580.1	CARHR046360.1, CARHR046370.1	Carub.0002s0017.1.p	gene-TAV2_LOCUS5320, gene-TAV2_LOCUS5319
N0.HOG0000051	OG0000010	n13	Aa31LG5G12130	AT4G26800.2, AT1G62720.1	CARHR234420.1, CARHR049120.1	Carub.0007s1404.1.p, Carub.0002s0226.1.p	gene-TAV2_LOCUS23802
N0.HOG0000052	OG0000010	n20	Aa31LG2G220	AT1G12700.2, AT3G22470.1, AT1G12775.1, AT1G12620.1, AT1G12300.1, AT1G63070.1, AT1G63130.1, AT1G62914.1, AT1G63400.1, AT1G62590.1, AT1G62670.1, AT1G62680.2	CARHR013000.1, CARHR012910.1, CARHR050110.1, CARHR055270.1, CARHR048810.1, CARHR051050.1, CARHR048440.1, CARHR047970.1, CARHR045470.1, CARHR048770.1, CARHR051020.1, CARHR048480.1, CARHR051030.1, CARHR048820.1, CARHR048190.1, CARHR051150.1, CARHR048800.1, CARHR048500.1, CARHR047980.1, CARHR048840.1, CARHR048220.1, CARHR049170.1	Carub.0001s1241.1.p, Carub.0001s1249.1.p, Carub.0001s1231.1.p, Carub.0002s0191.1.p, Carub.0002s0192.1.p, Carub.0002s0190.1.p, Carub.0002s0150.1.p	gene-TAV2_LOCUS2546, gene-TAV2_LOCUS8031, gene-TAV2_LOCUS5757
N0.HOG0000053	OG0000011	n0		AT5G52930.1, AT5G52940.1, AT5G54560.1, AT5G54550.1, AT5G54450.1, AT4G13680.1, AT5G54330.1, AT5G55870.1, AT5G54320.1, AT5G55880.1, AT5G55890.1, AT5G55270.1, AT5G53240.1, AT5G53230.1	CARHR267700.1, CARHR267510.1, CARHR267660.1, CARHR267520.1, CARHR267830.1, CARHR267840.1, CARHR028780.1, CARHR257940.1, CARHR203520.1, CARHR244240.1, CARHR242060.1, CARHR028750.1, CARHR281120.1, CARHR267690.1, CARHR100780.1, CARHR100760.1, CARHR220000.1, CARHR242960.1, CARHR248330.1, CARHR281550.1, CARHR269260.1, CARHR269250.1, CARHR268630.1, CARHR100740.1, CARHR248340.1, CARHR289310.1, CARHR289300.1, CARHR242590.1, CARHR242640.1, CARHR242650.1, CARHR030080.1, CARHR030060.1, CARHR030090.1, CARHR104940.1	Carub.0008s1461.1.p, Carub.0003s3427.1.p, Carub.0001s2879.1.p, Carub.0001s2878.1.p	gene-TAV2_LOCUS20237, gene-TAV2_LOCUS20229, gene-TAV2_LOCUS20235, gene-TAV2_LOCUS20236, gene-TAV2_LOCUS19436, gene-TAV2_LOCUS19438, gene-TAV2_LOCUS19439, gene-TAV2_LOCUS19437, gene-TAV2_LOCUS14470, gene-TAV2_LOCUS11189, gene-TAV2_LOCUS21686, gene-TAV2_LOCUS19423, gene-TAV2_LOCUS19417
N0.HOG0000054	OG0000012	n0	Aa31LG3G3950, Aa31LG5G22000	AT1G05080.1, AT5G44850.1, AT3G49480.2, AT3G53550.1, AT1G26815.1, AT1G22000.1, AT1G26890.1, AT3G10750.1	CARHR174900.1, CARHR175950.1, CARHR178840.1, CARHR232230.1, CARHR222700.1, CARHR158440.1, CARHR158470.1, CARHR158480.1, CARHR158450.1, CARHR141500.1, CARHR024990.1, CARHR208490.1	Carub.0006s3287.1.p, Carub.0001s0436.1.p, Carub.0008s0418.1.p, Carub.0002s0899.1.p, Carub.0008s0417.1.p, Carub.0007s0781.1.p, Carub.0006s0548.1.p, Carub.0008s0416.1.p, Carub.0008s0420.1.p, Carub.0006s2253.1.p, Carub.0007s2619.1.p, Carub.0004s2892.1.p, Carub.0004s2887.1.p, Carub.0001s2407.1.p, Carub.0001s2408.1.p, Carub.0320s0001.1.p, Carub.0007s3566.1.p, Carub.0007s3567.1.p, Carub.0008s1685.1.p, Carub.0003s0998.1.p	gene-TAV2_LOCUS6789, gene-TAV2_LOCUS24329, gene-TAV2_LOCUS12860, gene-TAV2_LOCUS17257, gene-TAV2_LOCUS17256, gene-TAV2_LOCUS17112, gene-TAV2_LOCUS17111, gene-TAV2_LOCUS17106, gene-TAV2_LOCUS13152, gene-TAV2_LOCUS17143, gene-TAV2_LOCUS17894, gene-TAV2_LOCUS26017, gene-TAV2_LOCUS24540, gene-TAV2_LOCUS11419, gene-TAV2_LOCUS11607, gene-TAV2_LOCUS18070, gene-TAV2_LOCUS16433, gene-TAV2_LOCUS2108, gene-TAV2_LOCUS2485
N0.HOG0000055	OG0000013	n0		AT1G31090.1, AT1G31080.1, AT1G67130.1, AT5G42430.1, AT1G33010.1, AT1G33020.1, AT5G38810.2, AT1G30930.1, AT1G60370.1, AT3G57590.1, AT3G57580.1, AT1G30925.1, AT1G30920.1	CARHR174240.1, CARHR030870.1, CARHR030450.1, CARHR113190.1, CARHR030890.1, CARHR030460.1, CARHR030420.1, CARHR062310.1, CARHR045190.1, CARHR126510.1, CARHR031230.1, CARHR116780.1, CARHR148710.1, CARHR031540.1, CARHR056970.1, CARHR112760.1, CARHR167830.1, CARHR168020.1, CARHR030410.1, CARHR030440.1, CARHR036630.1, CARHR030470.1, CARHR054750.1, CARHR213730.1	Carub.0001s2931.1.p, Carub.0001s3050.1.p, Carub.0001s2948.1.p, Carub.0001s2947.1.p, Carub.0002s0685.1.p, Carub.0001s2933.1.p, Carub.0001s2930.1.p, Carub.0001s2943.1.p, Carub.0001s2944.1.p, Carub.0001s2932.1.p, Carub.0005s2443.1.p, Carub.0001s3326.1.p, Carub.0001s2927.1.p, Carub.0001s2925.1.p, Carub.0001s2929.1.p, Carub.0001s2934.1.p, Carub.0001s3824.1.p, Carub.0001s3224.1.p, Carub.0001s3225.1.p, Carub.0001s3230.1.p, Carub.0001s3227.1.p, Carub.0001s3228.1.p, Carub.0001s3226.1.p	
N0.HOG0000056	OG0000014	n1	Aa31LG9G10580	AT1G40390.1, AT1G43760.1	CARHR186370.1	Carub.0001s3395.1.p	gene-TAV2_LOCUS20144
