#OG_name	Cru.fasta	Ath.fasta	Aar.fasta	Chi.fasta	Tar.fasta
OG_1	Carub.0007s2402.1.p Carub.0007s2467.1.p	AT4G17390.1 AT4G16720.1	Aa31LG6G130 Aa31LG9G12170 Aa31LG2G12900	CARHR223250.1 CARHR224000.1	gene-TAV2_LOCUS9490 gene-TAV2_LOCUS23435
OG_19	Carub.0001s1234.1.p	AT1G12650.2	Aa31LG1G2030	CARHR012940.1	gene-TAV2_LOCUS3130
OG_20	Carub.0001s1203.1.p	AT1G12370.2	Aa31LG1G2270	CARHR012660.1	gene-TAV2_LOCUS552
OG_21	Carub.0001s1190.1.p	AT1G12230.2	Aa31LG1G2400	CARHR012530.1	gene-TAV2_LOCUS1524
OG_22	Carub.0001s1192.1.p Carub.0001s1191.1.p	AT1G12240.1 AT1G12244.1	Aa31LG1G2410 Aa31LG1G2420	CARHR012540.1 CARHR012550.1	gene-TAV2_LOCUS1527
OG_23	Carub.0001s1175.1.p	AT1G12064.1	Aa31LG1G2660	CARHR012430.1	
OG_24	Carub.0001s1173.1.p	AT1G12050.1	Aa31LG1G2680	CARHR012410.1	gene-TAV2_LOCUS3050
OG_25	Carub.0001s1154.1.p	AT1G11880.1	Aa31LG1G2850	CARHR012200.1	gene-TAV2_LOCUS2073
OG_26	Carub.0001s1151.1.p	AT1G11860.3	Aa31LG1G2870	CARHR012170.1	gene-TAV2_LOCUS2070
OG_27	Carub.0001s1150.1.p	AT1G11850.2	Aa31LG1G2940		gene-TAV2_LOCUS3671
OG_28	Carub.0001s1142.1.p	AT1G11760.1	Aa31LG1G2990	CARHR012080.1	gene-TAV2_LOCUS3670
OG_29	Carub.0002s0329.1.p	AT1G61780.1	Aa31LG1G3210	CARHR050560.1	gene-TAV2_LOCUS7708
OG_30	Carub.0001s1109.1.p	AT1G11480.1	Aa31LG1G3270	CARHR011750.1	gene-TAV2_LOCUS1692
OG_31	Carub.0001s1103.1.p	AT1G11400.4	Aa31LG1G3310	CARHR011640.1	gene-TAV2_LOCUS1687
OG_32	Carub.0001s1082.1.p	AT1G11240.1	Aa31LG1G3550	CARHR011470.1	gene-TAV2_LOCUS1757
OG_33	Carub.0001s1044.1.p	AT1G10880.1		CARHR011100.1	gene-TAV2_LOCUS3902
OG_34	Carub.0001s1040.1.p	AT1G10865.1	Aa31LG1G3990	CARHR011080.1	gene-TAV2_LOCUS3899
OG_35	Carub.0001s1022.1.p	AT1G10710.1	Aa31LG1G4120	CARHR010890.1	gene-TAV2_LOCUS822
OG_36	Carub.0004s1852.1.p Carub.0007s3217.1.p			CARHR131030.1	
OG_37	Carub.0007s2634.1.p Carub.0132s0001.1.p	AT2G36695.1		CARHR130990.1 CARHR131000.1	
OG_38	Carub.0001s1028.1.p Carub.0004s2371.1.p Carub.0001s1027.1.p Carub.0006s2682.1.p Carub.0001s1029.1.p	AT2G41415.1 AT1G10747.1 AT1G10745.1 AT1G10717.1	Aa31LG1G4090	CARHR010950.1 CARHR136530.1 CARHR010940.1 CARHR010960.1	gene-TAV2_LOCUS2341 gene-TAV2_LOCUS12764 gene-TAV2_LOCUS2344 gene-TAV2_LOCUS2343 gene-TAV2_LOCUS2342 gene-TAV2_LOCUS14651
OG_39	Carub.0003s2960.1.p Carub.0003s2944.1.p Carub.0005s0505.1.p Carub.0005s0475.1.p Carub.0005s0474.1.p	AT2G16225.1		CARHR106100.1	
OG_40	Carub.0001s1021.1.p Carub.0002s0434.1.p Carub.0001s1020.1.p			CARHR048590.1	
OG_41	Carub.0001s1023.1.p	AT1G10715.1			
OG_42	Carub.0001s0996.1.p	AT1G10522.1	Aa31LG1G4430	CARHR010670.1	gene-TAV2_LOCUS435
OG_43	Carub.0001s0991.1.p	AT1G10480.1		CARHR010620.1	gene-TAV2_LOCUS434
OG_44	Carub.0001s0928.1.p	AT1G09900.1	Aa31LG1G4990	CARHR009960.1	gene-TAV2_LOCUS391
OG_45	Carub.0001s0919.1.p	AT1G09815.1	Aa31LG1G5120	CARHR009820.1	gene-TAV2_LOCUS2930
OG_46	Carub.0001s0914.1.p	AT1G09794.1	Aa31LG1G5180	CARHR009770.1	
OG_47	Carub.0005s2108.1.p Carub.0005s2109.1.p	AT3G54470.1 AT3G54460.1	Aa31sc35G110 Aa31LG1G5360	CARHR164360.1 CARHR164370.1	gene-TAV2_LOCUS18207
OG_48	Carub.0001s0880.1.p	AT1G09450.1	Aa31LG1G5650	CARHR009420.1	gene-TAV2_LOCUS1605
OG_49	Carub.0001s0864.1.p	AT1G09300.1	Aa31LG1G5830	CARHR009270.1	gene-TAV2_LOCUS1041
OG_50	Carub.0001s0863.1.p	AT1G09290.1	Aa31LG1G5840	CARHR009260.1	gene-TAV2_LOCUS1040
OG_51	Carub.0001s0774.1.p	AT1G08390.1	Aa31LG1G6480	CARHR008260.1	gene-TAV2_LOCUS571
OG_52	Carub.0001s0544.1.p	AT1G06110.1	Aa31LG1G7110	CARHR005620.1	gene-TAV2_LOCUS1292
OG_53	Carub.0001s0568.1.p	AT1G06320.1	Aa31LG1G7320	CARHR005880.1	gene-TAV2_LOCUS176
OG_54	Carub.0007s0735.1.p	AT4G33100.1	Aa31LG1G7350	CARHR241130.1	gene-TAV2_LOCUS24359
OG_55	Carub.0004s1225.1.p	AT2G31040.1	Aa31LG1G7380	CARHR124570.1	gene-TAV2_LOCUS12919
OG_56	Carub.0001s0586.1.p	AT1G06500.3	Aa31LG1G7580	CARHR006110.1	gene-TAV2_LOCUS58
OG_57	Carub.0001s0588.1.p	AT1G06510.1	Aa31LG1G7610	CARHR006130.1	gene-TAV2_LOCUS2611
OG_58	Carub.0001s0631.1.p	AT1G07020.1	Aa31LG1G8070	CARHR006710.1	gene-TAV2_LOCUS501
OG_59	Carub.0004s0541.1.p	AT2G25625.1	Aa31LG1G8530	CARHR115660.1	gene-TAV2_LOCUS12250
OG_60	Carub.0001s0507.1.p	AT1G05720.1	Aa31LG1G8630	CARHR005240.1	gene-TAV2_LOCUS3333
OG_61	Carub.0006s1783.1.p Carub.0006s1784.1.p	AT5G19485.1 AT5G19490.1	Aa31LG1G8850	CARHR193430.1 CARHR193420.1	gene-TAV2_LOCUS19274
OG_62	Carub.0001s0286.1.p	AT1G03760.1	Aa31LG1G8970	CARHR003090.1	gene-TAV2_LOCUS1817
OG_63	Carub.0001s0294.1.p	AT1G03820.1	Aa31LG1G9020 Aa31LG6G10320	CARHR003150.1	gene-TAV2_LOCUS1818
OG_64	Carub.0001s2688.1.p	AT1G28400.1		CARHR027910.1	gene-TAV2_LOCUS2225
OG_65	Carub.0001s0230.1.p Carub.0001s0229.1.p	AT1G03160.1 AT1G03150.1	Aa31LG1G9370 Aa31LG1G9380	CARHR002490.1 CARHR002500.1	gene-TAV2_LOCUS2552
OG_66	Carub.0001s0199.1.p	AT1G02870.1	Aa31LG1G9720	CARHR002210.1	gene-TAV2_LOCUS3775
OG_67	Carub.0001s0149.1.p	AT1G02410.2	Aa31LG1G10050	CARHR001740.1	gene-TAV2_LOCUS1166
OG_68	Carub.0001s0140.1.p		Aa31LG1G10150	CARHR001670.1	
OG_69	Carub.0001s0138.1.p Carub.0001s0137.1.p	AT1G02335.1 AT1G02330.1	Aa31LG1G10160 Aa31LG1G10190 Aa31LG1G10170	CARHR001650.1 CARHR001640.1	gene-TAV2_LOCUS1173
OG_70	Carub.0001s0127.1.p	AT1G02260.2	Aa31LG1G10250	CARHR001550.1	gene-TAV2_LOCUS2708
OG_71	Carub.0001s0173.1.p	AT1G02680.1	Aa31LG1G9890	CARHR001960.1	gene-TAV2_LOCUS660 gene-TAV2_LOCUS2708
OG_72	Carub.0001s0103.1.p	AT1G01180.1	Aa31LG1G10550	CARHR001290.1	gene-TAV2_LOCUS1539
OG_73	Carub.0001s0053.1.p	AT1G01690.1	Aa31LG1G11030	CARHR000670.1	gene-TAV2_LOCUS423
OG_74	Carub.0001s0048.1.p	AT1G01730.1	Aa31LG1G11100 Aa31LG1G11110	CARHR000590.1 CARHR000610.1	gene-TAV2_LOCUS416
OG_75	Carub.0001s0045.1.p	AT1G01760.3	Aa31LG1G11130	CARHR000560.1	gene-TAV2_LOCUS2945
OG_76	Carub.0001s0044.1.p	AT1G01770.1	Aa31LG1G11140	CARHR000550.1	gene-TAV2_LOCUS2948
OG_77	Carub.0001s0037.1.p	AT1G01840.1	Aa31LG1G11200	CARHR000490.1	gene-TAV2_LOCUS1391
OG_78	Carub.0005s1790.1.p	AT3G51520.1	Aa31LG1G11280	CARHR161100.1	gene-TAV2_LOCUS16550
OG_79	Carub.0001s0010.1.p	AT1G02120.1	Aa31LG1G11480	CARHR000210.1	gene-TAV2_LOCUS366
OG_80	Carub.0001s0012.1.p	AT1G02100.1	Aa31LG1G11510	CARHR000230.1	gene-TAV2_LOCUS369
OG_81	Carub.0001s0001.1.p	AT1G02140.1	Aa31LG1G11540	CARHR000190.1	gene-TAV2_LOCUS1683
OG_82	Carub.0001s0004.1.p	AT1G02160.2	Aa31LG1G11570	CARHR000160.1	gene-TAV2_LOCUS1679
OG_83	Carub.0001s0006.1.p	AT1G02180.1	Aa31LG1G11590	CARHR000140.1	gene-TAV2_LOCUS18771
OG_84	Carub.0008s1956.1.p	AT5G58920.1	Aa31LG1G11620	CARHR272860.1	gene-TAV2_LOCUS21467
OG_85	Carub.0008s2011.1.p	AT5G59440.3	Aa31LG1G11800	CARHR285810.1	gene-TAV2_LOCUS21647
OG_86	Carub.0008s2018.1.p	AT5G59500.1	Aa31LG1G11840	CARHR285870.1	gene-TAV2_LOCUS21641
OG_87	Carub.0008s1981.1.p	AT5G59140.1	Aa31LG1G12030	CARHR285400.1	gene-TAV2_LOCUS18594
OG_88	Carub.0001s0268.1.p	AT1G03540.1	Aa31LG1G20900	CARHR002900.1	
OG_89	Carub.0007s3401.1.p Carub.0003s2398.1.p Carub.0006s2772.1.p Carub.0006s2951.1.p Carub.0002s1194.1.p Carub.0004s0861.1.p Carub.0006s2952.1.p Carub.0003s2294.1.p	AT5G41510.1 AT5G41490.1 AT5G41500.1 AT4G10740.1 AT3G23685.1 AT3G25090.1 AT3G23680.1 AT3G22421.1 AT4G33290.1 AT3G22870.1 AT2G38590.1 AT3G22940.1 AT3G04250.1 AT1G65990.1		CARHR133060.1 CARHR133070.1 CARHR099660.1 CARHR101230.1 CARHR101240.1 CARHR101620.1 CARHR115940.1 CARHR115970.1 CARHR078400.1 CARHR102680.1 CARHR189820.1 CARHR115930.1 CARHR101220.1	gene-TAV2_LOCUS1282 gene-TAV2_LOCUS1281 gene-TAV2_LOCUS12920 gene-TAV2_LOCUS13218 gene-TAV2_LOCUS13219
OG_90	Carub.0007s0827.1.p Carub.0006s1843.1.p	AT4G32300.1 AT5G20050.1	Aa31LG2G18220	CARHR240210.1 CARHR192780.1	gene-TAV2_LOCUS24736
OG_91	Carub.0006s2909.1.p Carub.0007s2929.1.p	AT5G45230.1	Aa31LG4G7750 Aa31LG9G7790 Aa31LG9G7800	CARHR177220.1 CARHR177070.1	gene-TAV2_LOCUS6752 gene-TAV2_LOCUS6754
OG_92	Carub.0003s2506.1.p Carub.0345s0001.1.p Carub.0008s0923.1.p Carub.0001s1342.1.p Carub.0006s0880.1.p Carub.0006s1692.1.p Carub.0001s1404.1.p Carub.0001s2401.1.p Carub.0005s2405.1.p Carub.0005s2408.1.p	AT1G12490.1 AT1G11270.2 AT4G01640.1 AT5G16285.1 AT5G10340.1 AT2G34280.1 AT1G09650.1 AT1G14315.2	Aa31LG4G12350 Aa31LG8G10900 Aa31sc18G20 Aa31LG8G10910 Aa31LG8G10860 Aa31LG4G13090 Aa31LG8G6310 Aa31LG8G6370 Aa31LG8G6400 Aa31LG8G6350	CARHR035940.1 CARHR292150.1 CARHR008650.1 CARHR011460.1 CARHR099040.1 CARHR119930.1 CARHR124000.1 CARHR125660.1 CARHR125670.1 CARHR024930.1 CARHR014740.1 CARHR014880.1	gene-TAV2_LOCUS13211 gene-TAV2_LOCUS938 gene-TAV2_LOCUS1286 gene-TAV2_LOCUS203 gene-TAV2_LOCUS3216 gene-TAV2_LOCUS1254 gene-TAV2_LOCUS3900 gene-TAV2_LOCUS3581 gene-TAV2_LOCUS3582 gene-TAV2_LOCUS265 gene-TAV2_LOCUS3419 gene-TAV2_LOCUS3064
OG_93	Carub.0005s1539.1.p	AT3G49160.1	Aa31LG4G17600	CARHR158030.1	gene-TAV2_LOCUS18157
OG_94	Carub.0006s1144.1.p	AT5G13270.1	Aa31LG3G14390	CARHR200180.1	
OG_95	Carub.0007s0976.1.p	AT4G30700.1	Aa31LG2G19660	CARHR086020.1 CARHR238580.1	gene-TAV2_LOCUS25324
OG_96	Carub.0005s1537.1.p	AT3G49140.1	Aa31LG4G17600	CARHR118660.1 CARHR157980.1	gene-TAV2_LOCUS18156
OG_97	Carub.0007s2601.1.p	AT4G15720.1	Aa31LG10G6420	CARHR290120.1	gene-TAV2_LOCUS23907 gene-TAV2_LOCUS24692
OG_98	Carub.0002s2143.1.p	AT1G74640.1	Aa31LG4G4870	CARHR067910.1 CARHR067920.1	gene-TAV2_LOCUS17921
OG_99	Carub.0003s2322.1.p Carub.0003s2730.1.p Carub.0003s2280.1.p Carub.0003s2653.1.p Carub.0007s3209.1.p Carub.0001s2538.1.p Carub.0004s0435.1.p Carub.0004s0434.1.p Carub.0001s3457.1.p Carub.0003s2503.1.p Carub.0002s0776.1.p Carub.0003s1811.1.p Carub.0003s1337.1.p Carub.0003s2655.1.p Carub.0003s1813.1.p Carub.0001s3656.1.p Carub.0003s2560.1.p Carub.0001s2537.1.p Carub.0003s1977.1.p Carub.0003s2631.1.p Carub.0003s2067.1.p Carub.0003s1726.1.p Carub.0008s1030.1.p Carub.0003s2657.1.p Carub.0003s1874.1.p Carub.0003s2707.1.p Carub.0004s0838.1.p Carub.0006s3222.1.p Carub.0001s3652.1.p Carub.0001s3655.1.p Carub.0001s3649.1.p Carub.0003s1978.1.p Carub.0005s1584.1.p Carub.0003s1703.1.p Carub.0003s1660.1.p Carub.0008s1500.1.p Carub.0005s2337.1.p Carub.0002s0522.1.p Carub.0006s3223.1.p Carub.0004s0575.1.p Carub.0003s3197.1.p Carub.0003s2666.1.p Carub.0003s1310.1.p Carub.0002s1378.1.p Carub.0003s2632.1.p Carub.0003s1653.1.p Carub.0004s0830.1.p Carub.0004s2140.1.p Carub.0004s0845.1.p Carub.0003s1661.1.p Carub.0003s1334.1.p Carub.0003s2043.1.p Carub.0003s2562.1.p Carub.0003s2633.1.p Carub.0002s0781.1.p Carub.0006s2303.1.p Carub.0003s2963.1.p Carub.0003s1940.1.p Carub.0008s0140.1.p Carub.0004s0576.1.p Carub.0003s1313.1.p Carub.0003s1235.1.p Carub.0003s1995.1.p Carub.0004s0843.1.p Carub.0003s1295.1.p Carub.0003s2286.1.p Carub.0005s1634.1.p Carub.0001s2536.1.p Carub.0003s1760.1.p Carub.0004s0842.1.p Carub.0008s1027.1.p Carub.0001s1047.1.p Carub.0002s0645.1.p Carub.0003s2032.1.p Carub.0003s1975.1.p Carub.0001s3046.1.p Carub.0003s2561.1.p Carub.0003s1721.1.p Carub.0001s3510.1.p Carub.0003s1866.1.p Carub.0003s2652.1.p Carub.0006s2841.1.p Carub.0002s0273.1.p Carub.0003s1761.1.p Carub.0003s1362.1.p Carub.0002s0302.1.p Carub.0003s2110.1.p	AT3G23420.1 AT3G22650.2 AT3G25460.1 AT3G13830.1 AT1G11810.1 AT5G62830.1 AT1G66490.1 AT3G49980.2 AT4G09870.1 AT1G54550.1 AT3G22710.1 AT3G18905.1 AT3G17560.1 AT3G18320.1 AT3G18980.1 AT3G18330.1 AT2G18780.1 AT3G18120.1 AT1G67450.1 AT3G14030.1 AT3G13820.1 AT3G20700.1 AT3G20710.1 AT4G05080.1 AT3G19410.1 AT3G18910.1 AT2G07140.1 AT3G44120.1 AT3G22770.1 AT3G22350.1 AT3G17320.1 AT5G51000.1 AT3G19890.1 AT5G42460.1 AT3G22720.1 AT3G22700.1 AT3G24580.1 AT3G20690.1 AT1G24881.1 AT1G24800.1 AT1G25211.1 AT1G25055.1 AT1G25150.1 AT3G19470.2 AT3G49520.1 AT5G36200.1 AT5G60560.2 AT3G19560.1 AT2G17830.1 AT3G16740.1 AT2G27520.1 AT3G19880.1 AT5G36730.1 AT5G36820.1 AT3G16880.1 AT1G32140.1 AT3G17620.1 AT4G17200.1 AT3G13680.1 AT5G47300.1 AT3G20030.1 AT3G49510.1 AT1G25141.1 AT1G62270.1 AT3G17400.1 AT3G17500.1 AT3G17480.1 AT3G16820.1 AT3G22730.1 AT2G04920.1 AT3G17490.1 AT1G67455.1	Aa31LG8G9220 Aa31LG8G9160 Aa31LG8G9180 Aa31LG3G7390 Aa31LG3G8170 Aa31LG8G9170 Aa31LG8G9200 Aa31LG5G23400 Aa31LG3G8150 Aa31LG8G9190 Aa31LG9G1830	CARHR120090.1 CARHR047250.1 CARHR047290.1 CARHR213510.1 CARHR222480.1 CARHR059990.1 CARHR158510.1 CARHR090170.1 CARHR092160.1 CARHR257190.1 CARHR095220.1 CARHR098530.1 CARHR286530.1 CARHR094390.1 CARHR100810.1 CARHR177430.1 CARHR096500.1 CARHR155460.1 CARHR120060.1 CARHR120360.1 CARHR096160.1 CARHR096180.1 CARHR096530.1 CARHR096510.1 CARHR100840.1 CARHR092720.1 CARHR094810.1 CARHR025790.1 CARHR060010.1 CARHR149830.1 CARHR260660.1 CARHR092810.1 CARHR088860.1 CARHR060020.1 CARHR093690.1 CARHR094840.1 CARHR094850.1 CARHR100940.1 CARHR107830.1 CARHR088590.1 CARHR257200.1 CARHR107470.1 CARHR050210.1 CARHR135370.1 CARHR092630.1 CARHR088600.1 CARHR192030.1 CARHR162370.1 CARHR088150.1 CARHR092620.1 CARHR260790.1 CARHR092000.1 CARHR092940.1 CARHR098050.1 CARHR257260.1 CARHR223800.1 CARHR095000.1 CARHR108320.1 CARHR213520.1 CARHR095410.1 CARHR100820.1 CARHR108730.1 CARHR214390.1 CARHR092590.1 CARHR095400.1 CARHR096520.1 CARHR050080.1 CARHR092150.1 CARHR094260.1 CARHR099980.1 CARHR092560.1 CARHR108330.1 CARHR120290.1 CARHR094860.1 CARHR154640.1 CARHR260760.1 CARHR266870.1 CARHR088870.1 CARHR158520.1 CARHR248580.1 CARHR120300.1 CARHR084920.1 CARHR099690.1 CARHR134370.1 CARHR092830.1 CARHR151680.1 CARHR050100.1 CARHR088850.1 CARHR094990.1 CARHR108260.1 CARHR111010.1	gene-TAV2_LOCUS18155 gene-TAV2_LOCUS9990 gene-TAV2_LOCUS9377 gene-TAV2_LOCUS2757 gene-TAV2_LOCUS8166 gene-TAV2_LOCUS13821 gene-TAV2_LOCUS11346 gene-TAV2_LOCUS18158 gene-TAV2_LOCUS14951 gene-TAV2_LOCUS24469 gene-TAV2_LOCUS14151 gene-TAV2_LOCUS25337 gene-TAV2_LOCUS12838 gene-TAV2_LOCUS6724 gene-TAV2_LOCUS25847 gene-TAV2_LOCUS12832 gene-TAV2_LOCUS14950 gene-TAV2_LOCUS12837 gene-TAV2_LOCUS5581
OG_100	Carub.0003s3061.1.p	AT2G16790.3	Aa31LG8G14030	CARHR107040.1	gene-TAV2_LOCUS11206
OG_101	Carub.0003s1404.1.p Carub.0001s4305.1.p	AT1G53800.3	Aa31LG10G1510 Aa31LG8G1600	CARHR044090.1 CARHR089450.1	gene-TAV2_LOCUS11154
OG_102	Carub.0007s1790.1.p Carub.0006s3046.1.p Carub.0007s1785.1.p Carub.0006s3051.1.p Carub.0007s1805.1.p Carub.0006s3047.1.p Carub.0007s1794.1.p Carub.0007s1791.1.p Carub.0007s1795.1.p Carub.0007s1808.1.p Carub.0006s3042.1.p Carub.0007s1797.1.p Carub.0005s0974.1.p Carub.0006s3049.1.p Carub.0007s1801.1.p Carub.0006s3045.1.p Carub.0006s3041.1.p Carub.0007s1798.1.p Carub.0006s3054.1.p Carub.0007s1800.1.p Carub.0006s3043.1.p Carub.0007s1807.1.p Carub.0007s1792.1.p Carub.0006s3044.1.p Carub.0006s2699.1.p	AT4G23320.3 AT4G23290.2 AT4G11521.1 AT4G23300.1 AT4G23210.3 AT4G23220.1 AT4G11530.1 AT4G23200.1 AT4G23190.1 AT4G11480.1 AT4G11490.1 AT4G11470.2 AT4G23250.2 AT4G23240.1 AT4G11460.1 AT4G23260.1	Aa31LG9G10760 Aa31LG9G10770 Aa31LG6G6560 Aa31LG9G9790 Aa31LG9G9240 Aa31LG6G6530 Aa31sc914G20	CARHR230310.1 CARHR230440.1 CARHR230460.1 CARHR230630.1 CARHR230660.1 CARHR254970.1 CARHR254990.1 CARHR255010.1 CARHR255030.1 CARHR263990.1 CARHR230340.1 CARHR230640.1 CARHR254920.1 CARHR230500.1 CARHR255050.1 CARHR254910.1 CARHR057450.1 CARHR230280.1 CARHR255070.1 CARHR055330.1 CARHR230510.1 CARHR230330.1 CARHR230350.1 CARHR230480.1 CARHR230470.1 CARHR252970.1 CARHR264010.1 CARHR230300.1 CARHR254870.1 CARHR255040.1 CARHR230450.1 CARHR230390.1 CARHR230400.1 CARHR254880.1 CARHR255080.1 CARHR255000.1 CARHR230410.1 CARHR254960.1 CARHR259510.1 CARHR263940.1	gene-TAV2_LOCUS20335 gene-TAV2_LOCUS22074 gene-TAV2_LOCUS18779 gene-TAV2_LOCUS21261 gene-TAV2_LOCUS22073 gene-TAV2_LOCUS22075
OG_103	Carub.0005s1769.1.p	AT3G51320.1	Aa31LG4G19320	CARHR160900.1	
OG_104	Carub.0007s2019.1.p	AT4G21220.1 AT4G05210.1 AT4G21230.1	Aa31LG9G9230 Aa31LG6G3250	CARHR227820.1 CARHR227830.1	gene-TAV2_LOCUS25570
OG_105	Carub.0001s0689.1.p Carub.0001s4076.1.p Carub.0001s3825.1.p Carub.0004s0995.1.p Carub.0002s1143.1.p Carub.0001s4047.1.p Carub.0004s0997.1.p Carub.0001s4079.1.p Carub.0004s1000.1.p Carub.0004s0999.1.p Carub.0004s0996.1.p Carub.0001s4074.1.p Carub.0001s4075.1.p Carub.0003s2137.1.p Carub.0004s0998.1.p Carub.0008s2030.1.p Carub.0004s0052.1.p Carub.0001s4078.1.p	AT1G51840.2 AT1G51860.1 AT2G28960.2 AT1G51870.2 AT1G51820.1 AT1G51890.2 AT5G59650.2 AT1G49100.1 AT1G51620.2 AT2G29000.1 AT2G04300.2 AT2G28970.1 AT1G07560.1 AT1G51850.2 AT1G51810.1 AT2G28990.2 AT4G20450.1 AT1G51830.2 AT1G51880.3 AT1G51805.1 AT3G21340.1	Aa31LG10G2930 Aa31LG10G2960 Aa31LG5G7220 Aa31LG3G1140 Aa31LG5G7270 Aa31LG2G8860 Aa31LG10G2980 Aa31LG5G7260 Aa31LG10G2970 Aa31LG4G15470 Aa31sc23G270 Aa31LG10G3000 Aa31LG10G3010 Aa31LG4G15410 Aa31LG10G2920 Aa31LG10G2950 Aa31sc13G40 Aa31LG10G2990 Aa31LG10G2900 Aa31LG5G7230	CARHR122150.1 CARHR041990.1 CARHR122230.1 CARHR039100.1 CARHR041980.1 CARHR122180.1 CARHR122220.1 CARHR273130.1 CARHR122160.1 CARHR122240.1 CARHR041960.1 CARHR122140.1 CARHR258870.1 CARHR097260.1 CARHR042010.1 CARHR041970.1 CARHR122190.1 CARHR007350.1 CARHR102140.1 CARHR122170.1 CARHR042000.1 CARHR050010.1 CARHR108900.1 CARHR112400.1	gene-TAV2_LOCUS3001 gene-TAV2_LOCUS2998 gene-TAV2_LOCUS454 gene-TAV2_LOCUS13816 gene-TAV2_LOCUS13814 gene-TAV2_LOCUS2994 gene-TAV2_LOCUS2996 gene-TAV2_LOCUS20699 gene-TAV2_LOCUS20708 gene-TAV2_LOCUS1411 gene-TAV2_LOCUS7082 gene-TAV2_LOCUS199 gene-TAV2_LOCUS4765 gene-TAV2_LOCUS13317 gene-TAV2_LOCUS20704 gene-TAV2_LOCUS20366 gene-TAV2_LOCUS8853 gene-TAV2_LOCUS18897 gene-TAV2_LOCUS14828 gene-TAV2_LOCUS14825 gene-TAV2_LOCUS14827 gene-TAV2_LOCUS13817
OG_106	Carub.0003s3336.1.p	AT2G19130.1	Aa31LG8G16170	CARHR215810.1	gene-TAV2_LOCUS11030 gene-TAV2_LOCUS2940
OG_107	Carub.0004s2798.1.p Carub.0006s1349.1.p	AT2G45350.1 AT5G15300.1	Aa31LG1G26870 Aa31LG11G14240	CARHR140560.1 CARHR198010.1	
OG_108	Carub.0008s2249.1.p	AT5G61800.1	Aa31LG11G1680	CARHR275560.1	
OG_109	Carub.0002s0380.1.p	AT1G61380.1		CARHR051160.1 CARHR051210.1	
OG_110	Carub.0006s0369.1.p Carub.0006s0367.1.p Carub.0003s0984.1.p Carub.0006s0368.1.p	AT5G04810.1 AT5G04780.1 AT2G05220.1 AT5G04800.2 AT2G04390.1 AT3G10610.1	Aa31LG11G5620	CARHR208470.1 CARHR208500.1 CARHR085190.1 CARHR208480.1	gene-TAV2_LOCUS19636
