group_id	Aar.fa	Ath.fa	Chi.fa	Cru.fa	Tar.fa
2802	Aa31LG1G730	AT1G14320.1	CARHR014750.1	Carub.0001s1400.1.p	gene-TAV2_LOCUS3580
2803	Aa31LG1G740	AT1G14310.1	CARHR014730.1	Carub.0001s1399.1.p	gene-TAV2_LOCUS1960
2804	Aa31LG1G750	AT1G14300.2	CARHR014720.1	Carub.0001s1398.1.p	gene-TAV2_LOCUS1961
2805	Aa31LG1G760	AT1G14290.1	CARHR014710.1	Carub.0001s1397.1.p	gene-TAV2_LOCUS1962
2806	Aa31LG1G780	AT1G14280.1	CARHR014700.1	Carub.0001s1396.1.p	gene-TAV2_LOCUS1963
2807	Aa31LG1G790	AT1G14270.1	CARHR014690.1	Carub.0001s1395.1.p	gene-TAV2_LOCUS1964
2808	Aa31LG1G800	AT1G14260.2	CARHR014680.1	Carub.0001s1394.1.p	gene-TAV2_LOCUS1965
2809	Aa31LG1G830	AT1G14210.1	CARHR014630.1	Carub.0001s1390.1.p	gene-TAV2_LOCUS3556
2810	Aa31LG1G840	AT1G14205.1	CARHR014620.1	Carub.0001s1389.1.p	gene-TAV2_LOCUS3555
2811	Aa31LG1G850	AT1G14200.1	CARHR014610.1	Carub.0001s1388.1.p	gene-TAV2_LOCUS3554
2812	Aa31LG1G910	AT1G14180.1	CARHR014580.1	Carub.0001s1385.1.p	gene-TAV2_LOCUS3550
2813	Aa31LG1G920	AT1G14170.3	CARHR014570.1	Carub.0001s1384.1.p	gene-TAV2_LOCUS3549
2814	Aa31LG1G940	AT1G14150.1	CARHR014540.1	Carub.0001s1383.1.p	gene-TAV2_LOCUS3547
2815	Aa31LG1G950	AT1G14130.1	CARHR014520.1	Carub.0001s1381.1.p	gene-TAV2_LOCUS1366
2816	Aa31LG1G980	AT1G14060.1	CARHR014450.1	Carub.0001s1375.1.p	gene-TAV2_LOCUS2921
2817	Aa31LG1G1000	AT1G14030.1	CARHR014400.1	Carub.0001s1372.1.p	gene-TAV2_LOCUS12011
2818	Aa31LG1G1010	AT1G14020.1	CARHR014390.1	Carub.0001s1371.1.p	gene-TAV2_LOCUS387
2819	Aa31LG1G1020	AT1G14010.1	CARHR014380.1	Carub.0001s1370.1.p	gene-TAV2_LOCUS384
2820	Aa31LG1G1030	AT1G14000.1	CARHR014370.1	Carub.0001s1369.1.p	gene-TAV2_LOCUS385
2821	Aa31LG1G1040	AT1G13990.3	CARHR014360.1	Carub.0001s1368.1.p	gene-TAV2_LOCUS1439
2822	Aa31LG1G1050	AT1G13980.1	CARHR014350.1	Carub.0001s1367.1.p	gene-TAV2_LOCUS2311
2823	Aa31LG1G1060	AT1G13970.1	CARHR014340.1	Carub.0001s1366.1.p	gene-TAV2_LOCUS2917
2824	Aa31LG1G1070	AT1G13960.1	CARHR014330.1	Carub.0001s1365.1.p	gene-TAV2_LOCUS2916
2825	Aa31LG1G1080,Aa31LG4G11460	AT1G13950.1	CARHR014320.1	*	gene-TAV2_LOCUS1346
2826	Aa31LG1G1090	AT1G13940.1	CARHR014310.1	Carub.0001s1364.1.p	gene-TAV2_LOCUS386
2827	Aa31LG1G1100	AT1G13920.4	CARHR014290.1	Carub.0001s1362.1.p	gene-TAV2_LOCUS380
2828	Aa31LG1G1110	AT1G13900.1	CARHR014270.1	Carub.0001s1360.1.p	gene-TAV2_LOCUS383
2829	Aa31LG1G1120	AT1G13880.2	CARHR014250.1	Carub.0001s1358.1.p	gene-TAV2_LOCUS382
2830	Aa31LG1G1140	AT1G13820.1	CARHR014210.1	Carub.0001s1354.1.p	gene-TAV2_LOCUS4020
2831	Aa31LG1G1150	AT1G13810.1	CARHR014200.1	Carub.0001s1353.1.p	gene-TAV2_LOCUS4015
2832	Aa31LG1G1160	AT1G13790.2	CARHR014180.1	Carub.0001s1350.1.p	gene-TAV2_LOCUS4017
2833	Aa31LG1G1170	AT1G13770.1	CARHR014160.1	Carub.0001s1349.1.p	gene-TAV2_LOCUS1348
2834	Aa31LG1G1180	AT1G13750.1	CARHR014130.1	Carub.0006s2701.1.p	gene-TAV2_LOCUS1349
2835	Aa31LG1G1200	AT1G13710.1	CARHR014110.1	Carub.0001s1345.1.p	gene-TAV2_LOCUS1354
2836	Aa31LG1G1220	AT1G13700.2	CARHR014100.1	Carub.0001s1344.1.p	gene-TAV2_LOCUS1353
2837	Aa31LG1G1230	AT1G13690.1	CARHR014090.1	Carub.0001s1343.1.p	gene-TAV2_LOCUS768
2838	Aa31LG1G1290	*	CARHR014040.1,CARHR049240.1	Carub.0007s2883.1.p,Carub.0007s2881.1.p	*
2839	Aa31LG1G1300	AT1G13635.2	CARHR014010.1	Carub.0001s1336.1.p	gene-TAV2_LOCUS775
2840	Aa31LG1G1310	AT1G13610.1	CARHR013950.1	Carub.0001s1333.1.p	gene-TAV2_LOCUS2292
2841	Aa31LG1G1320,Aa31LG2G6850	AT2G04032.1	*	Carub.0001s1332.1.p	gene-TAV2_LOCUS2291
2842	Aa31LG1G1330	AT1G13600.1	CARHR013930.1	Carub.0001s1328.1.p	gene-TAV2_LOCUS1893
2843	Aa31LG1G1350	AT1G13570.1	CARHR013890.1	Carub.0001s1325.1.p	gene-TAV2_LOCUS2300
2844	Aa31LG1G1360	AT1G13560.1	CARHR013880.1	Carub.0001s1324.1.p	gene-TAV2_LOCUS2299
2845	Aa31LG1G1390	AT1G13220.3	CARHR013600.1	Carub.0001s1295.1.p	gene-TAV2_LOCUS2148
2846	Aa31LG1G1400	AT1G13250.1	CARHR013630.1	Carub.0001s1298.1.p	gene-TAV2_LOCUS2140
2847	Aa31LG1G1410	AT1G13260.1	CARHR013640.1	Carub.0001s1299.1.p	gene-TAV2_LOCUS2141
2848	Aa31LG1G1420	AT1G13270.1	CARHR013650.1	Carub.0001s1300.1.p	gene-TAV2_LOCUS3407
2849	Aa31LG1G1450	AT1G13300.1	CARHR013680.1	Carub.0001s1303.1.p	gene-TAV2_LOCUS3409
2850	Aa31LG1G1460	AT1G13310.1	CARHR013690.1	Carub.0001s1304.1.p	gene-TAV2_LOCUS3410
2851	Aa31LG1G1480	AT1G13330.1	CARHR013710.1	Carub.0001s1306.1.p	gene-TAV2_LOCUS3412
2852	Aa31LG1G1490	AT1G13340.1	CARHR013720.1	Carub.0001s1307.1.p	gene-TAV2_LOCUS3413
2853	Aa31LG1G1510	AT1G13360.1	CARHR013740.1	Carub.0001s1308.1.p	gene-TAV2_LOCUS3414
2854	Aa31LG1G1530	AT1G13380.1	CARHR013750.1	Carub.0001s1309.1.p	gene-TAV2_LOCUS3405
2855	Aa31LG1G1540	AT1G13390.1	CARHR013760.1	Carub.0001s1310.1.p	gene-TAV2_LOCUS3406
2856	Aa31LG1G1560	AT1G13400.1	CARHR013770.1	Carub.0001s1311.1.p	gene-TAV2_LOCUS1862
2857	Aa31LG1G1580	AT1G13450.1	CARHR013800.1	Carub.0001s1315.1.p	gene-TAV2_LOCUS1859
2858	Aa31LG1G1600	AT1G13195.1	CARHR013570.1	Carub.0001s1293.1.p	gene-TAV2_LOCUS2145
2859	Aa31LG1G1610	AT1G13190.1	CARHR013560.1	Carub.0001s1292.1.p	gene-TAV2_LOCUS327
2860	Aa31LG1G1620	AT1G13180.1	CARHR013550.1	Carub.0001s1291.1.p	gene-TAV2_LOCUS643
2861	Aa31LG1G1630	AT1G13170.2	CARHR013540.1	Carub.0001s1290.1.p	gene-TAV2_LOCUS650
2862	Aa31LG1G1670	AT1G13130.1	CARHR013500.1	Carub.0001s1287.1.p	gene-TAV2_LOCUS647
2863	Aa31LG1G1680	AT1G13120.1	CARHR013490.1	Carub.0001s1286.1.p	gene-TAV2_LOCUS976
2864	Aa31LG1G1760	AT1G13040.2	CARHR013370.1	Carub.0001s1279.1.p	gene-TAV2_LOCUS978
2865	Aa31LG1G1770	AT1G13030.1	CARHR013360.1	Carub.0001s1278.1.p	gene-TAV2_LOCUS977
2866	Aa31LG1G1790	AT1G13000.1	CARHR013340.1	Carub.0001s1276.1.p	gene-TAV2_LOCUS3606
2867	Aa31LG1G1800	AT1G12990.1	CARHR013330.1	Carub.0001s1275.1.p	gene-TAV2_LOCUS3607
2868	Aa31LG1G1810	AT1G12980.1	CARHR013320.1	Carub.0001s1274.1.p	gene-TAV2_LOCUS3608
2869	Aa31LG1G1820	AT1G12970.1	CARHR013310.1	Carub.0001s1273.1.p	gene-TAV2_LOCUS3609
2870	Aa31LG1G1830	AT1G12950.1	CARHR013300.1	Carub.0001s1272.1.p	gene-TAV2_LOCUS3610
2871	Aa31LG1G1840	AT1G12940.1	CARHR013290.1	Carub.0001s1271.1.p	gene-TAV2_LOCUS3611
2872	Aa31LG1G1850	AT1G12930.1	CARHR013280.1	Carub.0001s1270.1.p	gene-TAV2_LOCUS3612
2873	Aa31LG1G1880	AT1G12900.5	CARHR013230.1	Carub.0001s1267.1.p	gene-TAV2_LOCUS4095
2874	Aa31LG1G1890	AT1G12890.1	CARHR013220.1	Carub.0001s1266.1.p	gene-TAV2_LOCUS3613
2875	Aa31LG1G1910	AT1G12850.1	CARHR013180.1	Carub.0001s1260.1.p	gene-TAV2_LOCUS4098
2876	Aa31LG1G1920	AT1G12840.1	CARHR013160.1	Carub.0001s1258.1.p	gene-TAV2_LOCUS4097
2877	Aa31LG1G1930	AT1G12830.1	CARHR013150.1	Carub.0001s1257.1.p	gene-TAV2_LOCUS4100
2878	Aa31LG1G1950	AT1G12800.1	CARHR013110.1	Carub.0001s1252.1.p	gene-TAV2_LOCUS3110
2879	Aa31LG1G1970	AT1G12770.2	CARHR013060.1	Carub.0001s1248.1.p	gene-TAV2_LOCUS2545
2880	Aa31LG1G1980	AT1G12760.1	CARHR013050.1	Carub.0001s1247.1.p	gene-TAV2_LOCUS2542
2881	Aa31LG1G1990	AT1G12750.4	CARHR013040.1	Carub.0001s1245.1.p	gene-TAV2_LOCUS2543
2882	Aa31LG1G2000	AT1G12740.4	CARHR013030.1	Carub.0001s1244.1.p	gene-TAV2_LOCUS2548
2883	Aa31LG1G2020	AT1G12680.1	CARHR012990.1	Carub.0001s1240.1.p	gene-TAV2_LOCUS2549
2884	Aa31LG1G2030	AT1G12650.2	CARHR012940.1	Carub.0001s1234.1.p	gene-TAV2_LOCUS3130
2885	Aa31LG1G2070	AT1G12580.1	CARHR012860.1	Carub.0001s1227.1.p	gene-TAV2_LOCUS3132
2886	Aa31LG1G2080	AT1G12570.1	CARHR012850.1	Carub.0001s1226.1.p	gene-TAV2_LOCUS1610
2887	Aa31LG1G2090	AT1G12560.1	CARHR012840.1	Carub.0001s1225.1.p	gene-TAV2_LOCUS1615
2888	Aa31LG1G2100	AT1G12550.1	CARHR012830.1	Carub.0001s1224.1.p	gene-TAV2_LOCUS1617
2889	Aa31LG1G2130	AT1G12500.1	CARHR012790.1	Carub.0001s1220.1.p	gene-TAV2_LOCUS1612
2890	Aa31LG1G2140	AT1G12480.1	CARHR012780.1	Carub.0001s1219.1.p	gene-TAV2_LOCUS1613
2891	Aa31LG1G2150	AT1G12470.1	CARHR012770.1	Carub.0001s1218.1.p	gene-TAV2_LOCUS1614
2892	Aa31LG1G2170	AT1G12450.1	CARHR012740.1	Carub.0001s1215.1.p	gene-TAV2_LOCUS2031
2893	Aa31LG1G2180	AT1G12440.2	CARHR012730.1	Carub.0001s1214.1.p	gene-TAV2_LOCUS2028
2894	Aa31LG1G2190	AT1G12430.2	CARHR012720.1	Carub.0001s1213.1.p	gene-TAV2_LOCUS2027
2895	Aa31LG1G2200	AT1G12420.1	CARHR012710.1	Carub.0001s1207.1.p	gene-TAV2_LOCUS2030
2896	Aa31LG1G2210	AT1G12410.1	CARHR012700.1	Carub.0001s1206.1.p	gene-TAV2_LOCUS2029
2897	Aa31LG1G2240	AT1G12390.1	CARHR012680.1	Carub.0001s1204.1.p	gene-TAV2_LOCUS2024
2898	Aa31LG1G2250	AT1G80710.1	CARHR073790.1	Carub.0002s2684.1.p	gene-TAV2_LOCUS15977
2899	Aa31LG1G2270	AT1G12370.2	CARHR012660.1	Carub.0001s1203.1.p	gene-TAV2_LOCUS552
2900	Aa31LG1G2280	AT1G12360.1	CARHR012650.1	Carub.0001s1202.1.p	gene-TAV2_LOCUS549
2901	Aa31LG1G2380	AT1G12200.1	CARHR012510.1	Carub.0001s1188.1.p	gene-TAV2_LOCUS1522
2902	Aa31LG1G2400	AT1G12230.2	CARHR012530.1	Carub.0001s1190.1.p	gene-TAV2_LOCUS1524
2903	Aa31LG1G2410	AT1G12240.1	CARHR012540.1	Carub.0001s1191.1.p	gene-TAV2_LOCUS1527
2904	Aa31LG1G2430	AT1G12250.1	CARHR012560.1	Carub.0001s1193.1.p	gene-TAV2_LOCUS1526
2905	Aa31LG1G2440	AT1G12260.1	CARHR012570.1	Carub.0001s1194.1.p	gene-TAV2_LOCUS544
2906	Aa31LG1G2600	AT1G12120.1	CARHR012480.1	Carub.0001s1181.1.p	gene-TAV2_LOCUS1521
2907	Aa31LG1G2630	AT1G12110.1	CARHR012470.1	Carub.0001s1180.1.p	gene-TAV2_LOCUS1518
2908	Aa31LG1G2670	AT1G12060.1	CARHR012420.1	Carub.0001s1174.1.p	gene-TAV2_LOCUS3051
2909	Aa31LG1G2680	AT1G12050.1	CARHR012410.1	Carub.0001s1173.1.p	gene-TAV2_LOCUS3050
2910	Aa31LG1G2700	AT1G12030.1	CARHR012380.1	Carub.0001s1171.1.p	gene-TAV2_LOCUS3052
2911	Aa31LG1G2730	AT1G12010.1	CARHR012350.1	Carub.0001s1169.1.p	gene-TAV2_LOCUS3046
2912	Aa31LG1G2770	AT1G11950.1	CARHR012300.1	Carub.0001s1165.1.p	gene-TAV2_LOCUS598
2913	Aa31LG1G2780	AT1G11930.1	CARHR012280.1	Carub.0001s1163.1.p	gene-TAV2_LOCUS600
2914	Aa31LG1G2790	AT1G11920.1	CARHR012260.1	Carub.0001s1161.1.p	gene-TAV2_LOCUS602
2915	Aa31LG1G2820	AT1G11905.1	CARHR012230.1	Carub.0001s1157.1.p	gene-TAV2_LOCUS2076
2916	Aa31LG1G2830	AT1G11900.1	CARHR012220.1	Carub.0001s1156.1.p	gene-TAV2_LOCUS2075
2917	Aa31LG1G2840	AT1G11890.1	CARHR012210.1	Carub.0001s1155.1.p	gene-TAV2_LOCUS2074
2918	Aa31LG1G2850	AT1G11880.1	CARHR012200.1	Carub.0001s1154.1.p	gene-TAV2_LOCUS2073
2919	Aa31LG1G2860	AT1G11870.2	CARHR012190.1	Carub.0001s1152.1.p	gene-TAV2_LOCUS2072
2920	Aa31LG1G2870	AT1G11860.3	CARHR012170.1	Carub.0001s1151.1.p	gene-TAV2_LOCUS2070
2921	Aa31LG1G2950	AT1G11840.6	CARHR012160.1	Carub.0001s1149.1.p	gene-TAV2_LOCUS3672
2922	Aa31LG1G2960	AT1G11820.2	CARHR012150.1	Carub.0001s1148.1.p	gene-TAV2_LOCUS3665
2923	Aa31LG1G2980	AT1G11790.1	CARHR012130.1	Carub.0001s1146.1.p	gene-TAV2_LOCUS3666
2924	Aa31LG1G2990	AT1G11760.1	CARHR012080.1	Carub.0001s1142.1.p	gene-TAV2_LOCUS3670
2925	Aa31LG1G3000	AT1G11755.1	CARHR012070.1	Carub.0001s1141.1.p	gene-TAV2_LOCUS3667
2926	Aa31LG1G3010	AT1G11750.2	CARHR012060.1	Carub.0001s1140.1.p	gene-TAV2_LOCUS3668
2927	Aa31LG1G3050	AT1G11720.2	CARHR012030.1	Carub.0001s1136.1.p	gene-TAV2_LOCUS1069
2928	Aa31LG1G3060	AT1G11710.1	CARHR012020.1	Carub.0001s1135.1.p	gene-TAV2_LOCUS1068
2929	Aa31LG1G3070	AT1G11700.1	CARHR012010.1	Carub.0001s1134.1.p	gene-TAV2_LOCUS1071
2930	Aa31LG1G3080	AT1G11680.1	CARHR011990.1	Carub.0001s1132.1.p	gene-TAV2_LOCUS1073
2931	Aa31LG1G3090	AT1G11670.1	CARHR011980.1	Carub.0001s1131.1.p	gene-TAV2_LOCUS1072
2932	Aa31LG1G3100	AT1G11660.3	CARHR011970.1	Carub.0001s1130.1.p	gene-TAV2_LOCUS2762
2933	Aa31LG1G3110	AT1G11655.1	CARHR011960.1	Carub.0001s1129.1.p	gene-TAV2_LOCUS2763
2934	Aa31LG1G3140	AT1G11600.1	CARHR011910.1	Carub.0001s1124.1.p	gene-TAV2_LOCUS2758
2935	Aa31LG1G3160	AT5G28237.1	CARHR011890.1	Carub.0001s1122.1.p	gene-TAV2_LOCUS209
2936	Aa31LG1G3170	AT1G11580.2	CARHR011870.1	Carub.0001s1120.1.p	gene-TAV2_LOCUS205
2937	Aa31LG1G3200	AT1G11545.1	CARHR011830.1	Carub.0001s1116.1.p	gene-TAV2_LOCUS208
2938	Aa31LG1G3210	AT1G61780.1	CARHR050560.1	Carub.0002s0329.1.p	gene-TAV2_LOCUS7708
2939	Aa31LG1G3230	AT1G11530.1	CARHR011800.1	Carub.0001s1114.1.p	gene-TAV2_LOCUS206
2940	Aa31LG1G3250	AT1G11500.3	CARHR011780.1	Carub.0001s1111.1.p	gene-TAV2_LOCUS1685
2941	Aa31LG1G3260	AT1G11490.2	CARHR011760.1	Carub.0001s1110.1.p	gene-TAV2_LOCUS1691
2942	Aa31LG1G3270	AT1G11480.1	CARHR011750.1	Carub.0001s1109.1.p	gene-TAV2_LOCUS1692
2943	Aa31LG1G3280	AT1G11440.1	CARHR011720.1	Carub.0001s1106.1.p	gene-TAV2_LOCUS1688
2944	Aa31LG1G3310	AT1G11400.4	CARHR011640.1	Carub.0001s1103.1.p	gene-TAV2_LOCUS1687
2945	Aa31LG1G3320	AT1G11390.1	CARHR011630.1	Carub.0001s1102.1.p	gene-TAV2_LOCUS3209
2946	Aa31LG1G3330	AT1G11380.1	CARHR011620.1	Carub.0001s1101.1.p	gene-TAV2_LOCUS3208
2947	Aa31LG1G3360	AT1G11290.1	CARHR011540.1	Carub.0001s1090.1.p	gene-TAV2_LOCUS1751
2948	Aa31LG1G3380	AT1G11320.1	CARHR011570.1	Carub.0001s1094.1.p	gene-TAV2_LOCUS3217
2949	Aa31LG1G3540	AT1G11250.1	CARHR011480.1	Carub.0001s1083.1.p	gene-TAV2_LOCUS1758
2950	Aa31LG1G3550	AT1G11240.1	CARHR011470.1	Carub.0001s1082.1.p	gene-TAV2_LOCUS1757
2951	Aa31LG1G3630	AT1G11200.1	CARHR011430.1	Carub.0001s1079.1.p	gene-TAV2_LOCUS262
2952	Aa31LG1G3640	AT1G11190.1	CARHR011420.1	Carub.0001s1078.1.p	gene-TAV2_LOCUS267
2953	Aa31LG1G3650	AT1G11180.2	CARHR011400.1	Carub.0001s1076.1.p	gene-TAV2_LOCUS268
2954	Aa31LG1G3740	AT1G11160.1	CARHR011370.1	Carub.0001s1074.1.p	gene-TAV2_LOCUS263
2955	Aa31LG1G3770	AT1G11130.1	CARHR011340.1	Carub.0001s1071.1.p	gene-TAV2_LOCUS735
2956	Aa31LG1G3780	AT1G11125.1	CARHR011330.1	Carub.0001s1070.1.p	gene-TAV2_LOCUS2819
2957	Aa31LG1G3790	AT1G11780.1	CARHR012120.1	Carub.0001s1145.1.p	gene-TAV2_LOCUS3663
2958	Aa31LG1G3800	AT1G11120.1	CARHR011320.1	Carub.0001s1069.1.p	gene-TAV2_LOCUS7429
2959	Aa31LG1G3810	AT1G11090.1	CARHR011280.1	Carub.0001s1065.1.p	gene-TAV2_LOCUS2812
2960	Aa31LG1G3830	AT1G11080.2	CARHR011270.1	Carub.0001s1064.1.p	gene-TAV2_LOCUS2815
2961	Aa31LG1G3850	AT1G11060.1	CARHR011250.1	Carub.0001s1062.1.p	gene-TAV2_LOCUS2817
2962	Aa31LG1G3860	AT1G11050.1	CARHR011240.1	Carub.0001s1061.1.p	gene-TAV2_LOCUS2816
2963	Aa31LG1G3870	AT1G11040.1	CARHR011230.1	Carub.0001s1060.1.p	gene-TAV2_LOCUS1255
2964	Aa31LG1G3880	AT1G11020.1	CARHR011220.1	Carub.0001s1059.1.p	gene-TAV2_LOCUS1249
2965	Aa31LG1G3890	AT1G11000.1	CARHR011210.1	Carub.0001s1058.1.p	gene-TAV2_LOCUS1248
2966	Aa31LG1G3900	AT1G60960.1	CARHR051990.1	Carub.0002s0430.1.p	gene-TAV2_LOCUS7909
2967	Aa31LG1G3940	AT1G10930.1	CARHR011150.1	Carub.0001s1051.1.p	gene-TAV2_LOCUS1251
2968	Aa31LG1G3950	AT1G10910.1	CARHR011130.1	Carub.0001s1049.1.p	gene-TAV2_LOCUS3905
2969	Aa31LG1G3960	AT1G10900.2	CARHR011120.1	Carub.0001s1048.1.p	gene-TAV2_LOCUS3904
2970	Aa31LG1G3970	AT1G10890.1	CARHR051920.1	Carub.0001s1045.1.p	gene-TAV2_LOCUS3903
2971	Aa31LG1G3990	AT1G10865.1	CARHR011080.1	Carub.0001s1040.1.p	gene-TAV2_LOCUS3899
2972	Aa31LG1G4000	AT1G10850.1	CARHR011070.1	Carub.0001s1039.1.p	gene-TAV2_LOCUS3898
2973	Aa31LG1G4030	AT1G10820.2	CARHR011040.1	Carub.0001s1036.1.p	gene-TAV2_LOCUS2335
2974	Aa31LG1G4040	AT1G10790.1	CARHR011010.1	Carub.0001s1034.1.p	gene-TAV2_LOCUS2336
2975	Aa31LG1G4050	AT1G10780.2	CARHR011000.1	Carub.0001s1033.1.p	gene-TAV2_LOCUS2337
2976	Aa31LG1G4070	AT1G10760.1	CARHR010980.1	Carub.0001s1031.1.p	gene-TAV2_LOCUS2339
2977	Aa31LG1G4100	AT1G10740.1	CARHR010930.1	Carub.0001s1026.1.p	gene-TAV2_LOCUS818
2978	Aa31LG1G4120	AT1G10710.1	CARHR010890.1	Carub.0001s1022.1.p	gene-TAV2_LOCUS822
2979	Aa31LG1G4130	AT1G10700.1	CARHR010880.1	Carub.0001s1019.1.p	gene-TAV2_LOCUS821
2980	Aa31LG1G4140	AT2G04850.1	CARHR102860.1	Carub.0003s2646.1.p	gene-TAV2_LOCUS11276
2981	Aa31LG1G4170	AT1G10660.2	CARHR010840.1	Carub.0001s1015.1.p	gene-TAV2_LOCUS3460
2982	Aa31LG1G4280	AT1G10620.1	CARHR010790.1	Carub.0001s1009.1.p	gene-TAV2_LOCUS3454
2983	Aa31LG1G4290	AT1G10610.1	CARHR010780.1	Carub.0001s1008.1.p	gene-TAV2_LOCUS3455
2984	Aa31LG1G4310	AT1G10590.3	CARHR010770.1	Carub.0001s1006.1.p	gene-TAV2_LOCUS1906
2985	Aa31LG1G4320	AT1G08080.1	CARHR007900.1	Carub.0001s0743.1.p	gene-TAV2_LOCUS2036
2986	Aa31LG1G4340	AT1G10580.1	CARHR010740.1	Carub.0001s1002.1.p	gene-TAV2_LOCUS1899
2987	Aa31LG1G4360	AT1G10570.1	CARHR010730.1	Carub.0001s1001.1.p	gene-TAV2_LOCUS1898
2988	Aa31LG1G4380	AT1G10550.1	CARHR010710.1	Carub.0001s0999.1.p	gene-TAV2_LOCUS1903
2989	Aa31LG1G4400	AT5G28530.1	CARHR185140.1	Carub.0006s2582.1.p	gene-TAV2_LOCUS7635
2990	Aa31LG1G4420	AT1G10530.1	CARHR010680.1	Carub.0001s0997.1.p	gene-TAV2_LOCUS1901
2991	Aa31LG1G4430	AT1G10522.1	CARHR010670.1	Carub.0001s0996.1.p	gene-TAV2_LOCUS435
2992	Aa31LG1G4440	AT1G10520.1	CARHR010660.1	Carub.0001s0995.1.p	gene-TAV2_LOCUS436
2993	Aa31LG1G4470	AT1G10480.1	CARHR010620.1	Carub.0001s0991.1.p	gene-TAV2_LOCUS434
2994	Aa31LG1G4480	AT1G10470.1	CARHR010610.1	Carub.0001s0990.1.p	gene-TAV2_LOCUS429
2995	Aa31LG1G4530	AT1G10385.1	CARHR010520.1	Carub.0001s0981.1.p	gene-TAV2_LOCUS3881
2996	Aa31LG1G4540	AT1G10380.1	CARHR010510.1	Carub.0001s0980.1.p	gene-TAV2_LOCUS3880
2997	Aa31LG1G4560	AT1G10370.1	CARHR010500.1	Carub.0001s0979.1.p	gene-TAV2_LOCUS3879
2998	Aa31LG1G4590	AT1G10330.1	CARHR010470.1	Carub.0001s0975.1.p	gene-TAV2_LOCUS2308
2999	Aa31LG1G4600	AT1G10320.1	CARHR010450.1	Carub.0001s0973.1.p	gene-TAV2_LOCUS2309
3000	Aa31LG1G4650	AT1G10290.1	CARHR010390.1	Carub.0001s0968.1.p	gene-TAV2_LOCUS2306
3001	Aa31LG1G4660	AT1G10280.1	CARHR010380.1	Carub.0001s0967.1.p	gene-TAV2_LOCUS783
3002	Aa31LG1G4670	AT1G10270.1	CARHR010370.1	Carub.0001s0966.1.p	gene-TAV2_LOCUS3746
3003	Aa31LG1G4680	AT1G10240.2	CARHR010360.1	Carub.0001s0965.1.p	gene-TAV2_LOCUS779
3004	Aa31LG1G4730	AT1G10200.1	CARHR010300.1	Carub.0001s0961.1.p	gene-TAV2_LOCUS780
3005	Aa31LG1G4750	AT1G10140.1	CARHR010240.1	Carub.0001s0955.1.p	gene-TAV2_LOCUS3418
3006	Aa31LG1G4760	AT1G10130.1	CARHR010230.1	Carub.0001s0954.1.p	gene-TAV2_LOCUS3420
3007	Aa31LG1G4780	AT1G10095.1	CARHR010210.1	Carub.0001s0952.1.p	gene-TAV2_LOCUS7342
3008	Aa31LG1G4810	AT1G10070.1	CARHR010180.1	Carub.0001s0950.1.p	gene-TAV2_LOCUS1874
3009	Aa31LG1G4850	AT1G10050.3	CARHR010160.1	Carub.0001s0947.1.p	gene-TAV2_LOCUS1872
3010	Aa31LG1G4860	AT1G10040.1	CARHR010150.1	Carub.0001s0946.1.p	gene-TAV2_LOCUS1871
3011	Aa31LG1G4870	AT1G10030.1	CARHR010140.1	Carub.0001s0945.1.p	gene-TAV2_LOCUS1870
3012	Aa31LG1G4880	AT1G10020.1	CARHR010130.1	Carub.0001s0944.1.p	gene-TAV2_LOCUS1869
3013	Aa31LG1G4900	AT1G09980.3	CARHR010100.1	Carub.0001s0941.1.p	gene-TAV2_LOCUS1866
3014	Aa31LG1G4910	AT1G09970.2	CARHR010090.1	Carub.0001s0940.1.p	gene-TAV2_LOCUS1865
3015	Aa31LG1G4920	AT1G09960.1	CARHR010080.1	Carub.0001s0939.1.p	gene-TAV2_LOCUS2290
3016	Aa31LG1G4930	AT1G09950.1	CARHR010070.1	Carub.0001s0935.1.p	gene-TAV2_LOCUS2296
3017	Aa31LG1G4940	AT1G09935.1	CARHR010050.1	Carub.0001s0933.1.p	gene-TAV2_LOCUS2992
3018	Aa31LG1G4970	AT1G09930.1	CARHR009980.1	Carub.0001s0931.1.p	gene-TAV2_LOCUS390
3019	Aa31LG1G4980	AT1G09910.1	CARHR009950.1	Carub.0001s0929.1.p	gene-TAV2_LOCUS392
3020	Aa31LG1G4990	AT1G09900.1	CARHR009960.1	Carub.0001s0928.1.p	gene-TAV2_LOCUS391
3021	Aa31LG1G5000	AT1G09890.3	CARHR009930.1	Carub.0001s0927.1.p	gene-TAV2_LOCUS393
3022	Aa31LG1G5010	AT1G09880.3	CARHR009920.1	Carub.0001s0926.1.p	gene-TAV2_LOCUS394
3023	Aa31LG1G5020	AT1G09870.1	CARHR009900.1	Carub.0001s0925.1.p	gene-TAV2_LOCUS2919
3024	Aa31LG1G5030	AT1G09860.1	CARHR009890.1	Carub.0001s0924.1.p	gene-TAV2_LOCUS2918
3025	Aa31LG1G5040	AT1G09850.1	CARHR009870.1	Carub.0001s0923.1.p	gene-TAV2_LOCUS2929
3026	Aa31LG1G5090	AT1G09830.1	CARHR009850.1	Carub.0001s0921.1.p	gene-TAV2_LOCUS2928
3027	Aa31LG1G5110	AT1G09820.1	CARHR009830.1	Carub.0001s0920.1.p	gene-TAV2_LOCUS2931
