ATfeature,refGene,Aar,Ath,Bra,Chi,Cru,Csa,Sal,Tar
AT1G13680,AT1G13680.1,Aa31LG1G1240,AT1G13680.1,,,Carub.0001s1341.1.p,,,gene-TAV2_LOCUS769
AT1G13040,AT1G13040.2,Aa31LG1G1760,AT1G13040.2,,CARHR013370.1,Carub.0001s1279.1.p,,,gene-TAV2_LOCUS978
COIL,AT1G13030.1,Aa31LG1G1770,AT1G13030.1,,CARHR013360.1,Carub.0001s1278.1.p,,,gene-TAV2_LOCUS977
VHA-C,AT1G12840.1,Aa31LG1G1920,AT1G12840.1,,CARHR013160.1,Carub.0001s1258.1.p,,,gene-TAV2_LOCUS4097
AT1G12830,AT1G12830.1,Aa31LG1G1930,AT1G12830.1,,CARHR013150.1,Carub.0001s1257.1.p,,,gene-TAV2_LOCUS4100
AT1G12650,AT1G12650.2,Aa31LG1G2030,AT1G12650.2,,CARHR012940.1,Carub.0001s1234.1.p,,,gene-TAV2_LOCUS3130
PHR1,AT1G12370.2,Aa31LG1G2270,AT1G12370.2,,CARHR012660.1,Carub.0001s1203.1.p,,,gene-TAV2_LOCUS552
AT1G12230,AT1G12230.2,Aa31LG1G2400,AT1G12230.2,,CARHR012530.1,Carub.0001s1190.1.p,,,gene-TAV2_LOCUS1524
BFRUCT4,AT1G12240.1,Aa31LG1G2410,AT1G12240.1,,CARHR012540.1,Carub.0001s1191.1.p,,,gene-TAV2_LOCUS1527
AT1G12244,AT1G12244.1,Aa31LG1G2420,AT1G12244.1,,CARHR012550.1,Carub.0001s1192.1.p,,,
AT1G12064,AT1G12064.1,Aa31LG1G2660,AT1G12064.1,,CARHR012430.1,Carub.0001s1175.1.p,,,
FAH,AT1G12050.1,Aa31LG1G2680,AT1G12050.1,,CARHR012410.1,Carub.0001s1173.1.p,,,gene-TAV2_LOCUS3050
AT1G11880,AT1G11880.1,Aa31LG1G2850,AT1G11880.1,,CARHR012200.1,Carub.0001s1154.1.p,,,gene-TAV2_LOCUS2073
AT1G11860,AT1G11860.3,Aa31LG1G2870,AT1G11860.3,,CARHR012170.1,Carub.0001s1151.1.p,,,gene-TAV2_LOCUS2070
AT1G11850,AT1G11850.2,Aa31LG1G2940,AT1G11850.2,,,Carub.0001s1150.1.p,,,gene-TAV2_LOCUS3671
MED32,AT1G11760.1,Aa31LG1G2990,AT1G11760.1,,CARHR012080.1,Carub.0001s1142.1.p,,,gene-TAV2_LOCUS3670
AT1G61780,AT1G61780.1,Aa31LG1G3210,AT1G61780.1,,CARHR050560.1,Carub.0002s0329.1.p,,,gene-TAV2_LOCUS7708
AT1G11480,AT1G11480.1,Aa31LG1G3270,AT1G11480.1,,CARHR011750.1,Carub.0001s1109.1.p,,,gene-TAV2_LOCUS1692
PYM,AT1G11400.4,Aa31LG1G3310,AT1G11400.4,,CARHR011640.1,Carub.0001s1103.1.p,,,gene-TAV2_LOCUS1687
AT1G11240,AT1G11240.1,Aa31LG1G3550,AT1G11240.1,,CARHR011470.1,Carub.0001s1082.1.p,,,gene-TAV2_LOCUS1757
AT1G10880,AT1G10880.1,,AT1G10880.1,,CARHR011100.1,Carub.0001s1044.1.p,,,gene-TAV2_LOCUS3902
AT1G10865,AT1G10865.1,Aa31LG1G3990,AT1G10865.1,,CARHR011080.1,Carub.0001s1040.1.p,,,gene-TAV2_LOCUS3899
PHS1,AT1G10710.1,Aa31LG1G4120,AT1G10710.1,,CARHR010890.1,Carub.0001s1022.1.p,,,gene-TAV2_LOCUS822
AT2G36695,AT2G36695.1,,AT2G36695.1,,"CARHR130990.1, CARHR131000.1","Carub.0007s2634.1.p, Carub.0132s0001.1.p",,,
ESF1.3,AT1G10717.1,,,,,,,,
ESF1.2,AT1G10745.1,Aa31LG1G4090,AT1G10745.1,,CARHR010950.1,"Carub.0001s1027.1.p, Carub.0001s1028.1.p",,,"gene-TAV2_LOCUS2342, gene-TAV2_LOCUS2344"
ESF1.1,AT1G10747.1,,AT1G10747.1,,"CARHR010940.1, CARHR010960.1","Carub.0001s1029.1.p, Carub.0006s2682.1.p",,,"gene-TAV2_LOCUS12764, gene-TAV2_LOCUS14651"
ESFL4,AT2G41415.1,,AT2G41415.1,,CARHR136530.1,Carub.0004s2371.1.p,,,
ESFL7,AT2G16225.1,,AT2G16225.1,,,Carub.0003s2944.1.p,,,
ESFL2,AT1G10715.1,,AT1G10715.1,,,Carub.0001s1023.1.p,,,
PRIN2,AT1G10522.1,Aa31LG1G4430,AT1G10522.1,,CARHR010670.1,Carub.0001s0996.1.p,,,gene-TAV2_LOCUS435
ZFP5,AT1G10480.1,Aa31LG1G4470,AT1G10480.1,,CARHR010620.1,Carub.0001s0991.1.p,,,gene-TAV2_LOCUS434
AT1G09900,AT1G09900.1,Aa31LG1G4990,AT1G09900.1,,CARHR009960.1,Carub.0001s0928.1.p,,,gene-TAV2_LOCUS391
POLD4,AT1G09815.1,Aa31LG1G5120,AT1G09815.1,,CARHR009820.1,Carub.0001s0919.1.p,,,gene-TAV2_LOCUS2930
AT1G09794,AT1G09794.1,Aa31LG1G5180,AT1G09794.1,,CARHR009770.1,Carub.0001s0914.1.p,,,
AT3G54460,AT3G54460.1,Aa31sc35G110,AT3G54460.1,,CARHR164360.1,Carub.0005s2108.1.p,,,gene-TAV2_LOCUS18207
PYRE-F,AT3G54470.1,Aa31LG1G5360,AT3G54470.1,,CARHR164370.1,Carub.0005s2109.1.p,,,
HASPIN,AT1G09450.1,Aa31LG1G5650,AT1G09450.1,,CARHR009420.1,Carub.0001s0880.1.p,,,gene-TAV2_LOCUS1605
ICP55,AT1G09300.1,Aa31LG1G5830,AT1G09300.1,,CARHR009270.1,Carub.0001s0864.1.p,,,gene-TAV2_LOCUS1041
AT1G09290,AT1G09290.1,Aa31LG1G5840,AT1G09290.1,,CARHR009260.1,Carub.0001s0863.1.p,,,gene-TAV2_LOCUS1040
AT1G08390,AT1G08390.1,Aa31LG1G6480,AT1G08390.1,,CARHR008260.1,Carub.0001s0774.1.p,,,gene-TAV2_LOCUS571
SKIP16,AT1G06110.1,Aa31LG1G7110,AT1G06110.1,,CARHR005620.1,Carub.0001s0544.1.p,,,gene-TAV2_LOCUS1292
AT1G06320,AT1G06320.1,Aa31LG1G7320,AT1G06320.1,,CARHR005880.1,Carub.0001s0568.1.p,,,gene-TAV2_LOCUS176
AT4G33100,AT4G33100.1,Aa31LG1G7350,AT4G33100.1,,CARHR241130.1,Carub.0007s0735.1.p,,,gene-TAV2_LOCUS24359
CGL160,AT2G31040.1,Aa31LG1G7380,AT2G31040.1,,CARHR124570.1,Carub.0004s1225.1.p,,,gene-TAV2_LOCUS12919
AT1G06500,AT1G06500.3,Aa31LG1G7580,AT1G06500.3,,CARHR006110.1,Carub.0001s0586.1.p,,,gene-TAV2_LOCUS58
AT1G06510,AT1G06510.1,Aa31LG1G7610,AT1G06510.1,,CARHR006130.1,Carub.0001s0588.1.p,,,gene-TAV2_LOCUS2611
AT1G07020,AT1G07020.1,Aa31LG1G8070,AT1G07020.1,,CARHR006710.1,Carub.0001s0631.1.p,,,gene-TAV2_LOCUS501
AT2G25625,AT2G25625.1,Aa31LG1G8530,AT2G25625.1,,CARHR115660.1,Carub.0004s0541.1.p,,,gene-TAV2_LOCUS12250
AT1G05720,AT1G05720.1,Aa31LG1G8630,AT1G05720.1,,CARHR005240.1,Carub.0001s0507.1.p,,,gene-TAV2_LOCUS3333
AT5G19485,AT5G19485.1,Aa31LG1G8850,AT5G19485.1,,CARHR193430.1,Carub.0006s1783.1.p,,,gene-TAV2_LOCUS19274
AT5G19490,AT5G19490.1,,AT5G19490.1,,CARHR193420.1,Carub.0006s1784.1.p,,,
AT1G03760,AT1G03760.1,Aa31LG1G8970,AT1G03760.1,,CARHR003090.1,Carub.0001s0286.1.p,,,gene-TAV2_LOCUS1817
AT1G03820,AT1G03820.1,Aa31LG1G9020,AT1G03820.1,,CARHR003150.1,Carub.0001s0294.1.p,,,gene-TAV2_LOCUS1818
AT1G28400,AT1G28400.1,Aa31LG6G10320,AT1G28400.1,,CARHR027910.1,Carub.0001s2688.1.p,,,gene-TAV2_LOCUS2225
NAA20,AT1G03150.1,Aa31LG1G9380,AT1G03150.1,,CARHR002490.1,Carub.0001s0229.1.p,,,
FZL,AT1G03160.1,Aa31LG1G9370,AT1G03160.1,,CARHR002500.1,Carub.0001s0230.1.p,,,gene-TAV2_LOCUS2552
AT1G02870,AT1G02870.1,Aa31LG1G9720,AT1G02870.1,,CARHR002210.1,Carub.0001s0199.1.p,,,gene-TAV2_LOCUS3775
COX11,AT1G02410.2,Aa31LG1G10050,AT1G02410.2,,CARHR001740.1,Carub.0001s0149.1.p,,,gene-TAV2_LOCUS1166
CSU2,AT1G02330.1,Aa31LG1G10170,AT1G02330.1,,CARHR001640.1,Carub.0001s0137.1.p,,,gene-TAV2_LOCUS1173
GL22,AT1G02335.1,Aa31LG1G10160,AT1G02335.1,,CARHR001650.1,Carub.0001s0138.1.p,,,
AT1G02260,AT1G02260.2,Aa31LG1G10250,AT1G02260.2,,CARHR001550.1,Carub.0001s0127.1.p,,,"gene-TAV2_LOCUS2708, gene-TAV2_LOCUS2708"
TAF13,AT1G02680.1,Aa31LG1G9890,AT1G02680.1,,CARHR001960.1,Carub.0001s0173.1.p,,,gene-TAV2_LOCUS660
AT1G01180,AT1G01180.1,Aa31LG1G10550,AT1G01180.1,,CARHR001290.1,Carub.0001s0103.1.p,,,gene-TAV2_LOCUS1539
ATPRD3,AT1G01690.1,Aa31LG1G11030,AT1G01690.1,,CARHR000670.1,Carub.0001s0053.1.p,,,gene-TAV2_LOCUS423
AT1G01730,AT1G01730.1,,AT1G01730.1,,,Carub.0001s0048.1.p,,,
AT1G01760,AT1G01760.3,Aa31LG1G11130,AT1G01760.3,,CARHR000560.1,Carub.0001s0045.1.p,,,gene-TAV2_LOCUS2945
AT1G01770,AT1G01770.1,Aa31LG1G11140,AT1G01770.1,,CARHR000550.1,Carub.0001s0044.1.p,,,gene-TAV2_LOCUS2948
AT1G01840,AT1G01840.1,Aa31LG1G11200,AT1G01840.1,,CARHR000490.1,Carub.0001s0037.1.p,,,gene-TAV2_LOCUS1391
DGAT2,AT3G51520.1,Aa31LG1G11280,AT3G51520.1,,CARHR161100.1,Carub.0005s1790.1.p,,,gene-TAV2_LOCUS16550
VAD1,AT1G02120.1,"Aa31LG1G11480, Aa31LG1G11490",AT1G02120.1,,CARHR000210.1,Carub.0001s0010.1.p,,,gene-TAV2_LOCUS366
LCMT1,AT1G02100.1,Aa31LG1G11510,AT1G02100.1,,CARHR000230.1,Carub.0001s0012.1.p,,,gene-TAV2_LOCUS369
MEE63,AT1G02140.1,Aa31LG1G11540,AT1G02140.1,,CARHR000190.1,Carub.0001s0001.1.p,,,gene-TAV2_LOCUS1683
AT1G02160,AT1G02160.2,Aa31LG1G11570,AT1G02160.2,,CARHR000160.1,Carub.0001s0004.1.p,,,gene-TAV2_LOCUS1679
AT1G02180,AT1G02180.1,Aa31LG1G11590,AT1G02180.1,,CARHR000140.1,Carub.0001s0006.1.p,,,gene-TAV2_LOCUS18771
AT5G58920,AT5G58920.1,Aa31LG1G11620,AT5G58920.1,,CARHR272860.1,Carub.0008s1956.1.p,,,gene-TAV2_LOCUS21467
ZEU1,AT5G59440.3,Aa31LG1G11800,AT5G59440.3,,CARHR285810.1,Carub.0008s2011.1.p,,,gene-TAV2_LOCUS21647
AT5G59500,AT5G59500.1,Aa31LG1G11840,AT5G59500.1,,CARHR285870.1,Carub.0008s2018.1.p,,,gene-TAV2_LOCUS21641
AT5G59140,AT5G59140.1,Aa31LG1G12030,AT5G59140.1,,CARHR285400.1,Carub.0008s1981.1.p,,,gene-TAV2_LOCUS18594
PCMP-E4,AT1G03540.1,Aa31LG1G20900,AT1G03540.1,,CARHR002900.1,Carub.0001s0268.1.p,,,
PRXIIA,AT1G65990.1,,"AT1G65990.1, AT4G10740.1",,,"Carub.0002s1194.1.p, Carub.0006s2951.1.p, Carub.0006s2952.1.p",,,
AT2G38590,AT2G38590.1,,"AT2G38590.1, AT3G04250.1, AT3G22421.1, AT3G22870.1, AT3G22940.1, AT3G23680.1, AT3G23685.1, AT3G25090.1, AT4G33290.1, AT5G41490.1, AT5G41500.1, AT5G41510.1",,,,,,
AT3G04250,AT3G04250.1,,"AT2G38590.1, AT3G04250.1, AT3G22421.1, AT3G22870.1, AT3G22940.1, AT3G23680.1, AT3G23685.1, AT3G25090.1, AT4G33290.1, AT5G41490.1, AT5G41500.1, AT5G41510.1",,,,,,
AT3G22421,AT3G22421.1,,"AT2G38590.1, AT3G04250.1, AT3G22421.1, AT3G22870.1, AT3G22940.1, AT3G23680.1, AT3G23685.1, AT3G25090.1, AT4G33290.1, AT5G41490.1, AT5G41500.1, AT5G41510.1",,,,,,
AT3G22870,AT3G22870.1,,"AT2G38590.1, AT3G04250.1, AT3G22421.1, AT3G22870.1, AT3G22940.1, AT3G23680.1, AT3G23685.1, AT3G25090.1, AT4G33290.1, AT5G41490.1, AT5G41500.1, AT5G41510.1",,,,,,
AT3G22940,AT3G22940.1,,"AT2G38590.1, AT3G04250.1, AT3G22421.1, AT3G22870.1, AT3G22940.1, AT3G23680.1, AT3G23685.1, AT3G25090.1, AT4G33290.1, AT5G41490.1, AT5G41500.1, AT5G41510.1",,,,,,
AT3G23680,AT3G23680.1,,"AT2G38590.1, AT3G04250.1, AT3G22421.1, AT3G22870.1, AT3G22940.1, AT3G23680.1, AT3G23685.1, AT3G25090.1, AT4G33290.1, AT5G41490.1, AT5G41500.1, AT5G41510.1",,,,,,
AT3G23685,AT3G23685.1,,"AT2G38590.1, AT3G04250.1, AT3G22421.1, AT3G22870.1, AT3G22940.1, AT3G23680.1, AT3G23685.1, AT3G25090.1, AT4G33290.1, AT5G41490.1, AT5G41500.1, AT5G41510.1",,,,,,
AT3G25090,AT3G25090.1,,"AT2G38590.1, AT3G04250.1, AT3G22421.1, AT3G22870.1, AT3G22940.1, AT3G23680.1, AT3G23685.1, AT3G25090.1, AT4G33290.1, AT5G41490.1, AT5G41500.1, AT5G41510.1",,,,,,
AT4G10740,AT4G10740.1,,"AT1G65990.1, AT4G10740.1",,,,,,
AT4G33290,AT4G33290.1,,"AT2G38590.1, AT3G04250.1, AT3G22421.1, AT3G22870.1, AT3G22940.1, AT3G23680.1, AT3G23685.1, AT3G25090.1, AT4G33290.1, AT5G41490.1, AT5G41500.1, AT5G41510.1",,,,,,
AT5G41490,AT5G41490.1,,"AT2G38590.1, AT3G04250.1, AT3G22421.1, AT3G22870.1, AT3G22940.1, AT3G23680.1, AT3G23685.1, AT3G25090.1, AT4G33290.1, AT5G41490.1, AT5G41500.1, AT5G41510.1",,,,,,
AT5G41500,AT5G41500.1,,"AT2G38590.1, AT3G04250.1, AT3G22421.1, AT3G22870.1, AT3G22940.1, AT3G23680.1, AT3G23685.1, AT3G25090.1, AT4G33290.1, AT5G41490.1, AT5G41500.1, AT5G41510.1",,,,,,
AT5G41510,AT5G41510.1,,"AT2G38590.1, AT3G04250.1, AT3G22421.1, AT3G22870.1, AT3G22940.1, AT3G23680.1, AT3G23685.1, AT3G25090.1, AT4G33290.1, AT5G41490.1, AT5G41500.1, AT5G41510.1",,,,,,
SD25,AT4G32300.1,Aa31LG2G18220,AT4G32300.1,,CARHR240210.1,Carub.0007s0827.1.p,,,gene-TAV2_LOCUS24736
AT5G20050,AT5G20050.1,,AT5G20050.1,,CARHR192780.1,Carub.0006s1843.1.p,,,
AT5G45230,AT5G45230.1,Aa31LG4G7750,AT5G45230.1,,"CARHR177070.1, CARHR177220.1",Carub.0007s2929.1.p,,,"gene-TAV2_LOCUS6752, gene-TAV2_LOCUS6754"
AT1G09650,AT1G09650.1,,"AT1G09650.1, AT1G11270.2, AT1G12490.1, AT2G34280.1, AT4G01640.1, AT5G10340.1",,"CARHR011460.1, CARHR124000.1, CARHR125660.1, CARHR125670.1","Carub.0001s1342.1.p, Carub.0003s2506.1.p, Carub.0006s0880.1.p, Carub.0006s1692.1.p",,,"gene-TAV2_LOCUS1254, gene-TAV2_LOCUS1286, gene-TAV2_LOCUS203, gene-TAV2_LOCUS3216, gene-TAV2_LOCUS3419, gene-TAV2_LOCUS3581, gene-TAV2_LOCUS3582, gene-TAV2_LOCUS3900, gene-TAV2_LOCUS938"
AT1G11270,AT1G11270.2,,"AT1G09650.1, AT1G11270.2, AT1G12490.1, AT2G34280.1, AT4G01640.1, AT5G10340.1",,"CARHR011460.1, CARHR124000.1, CARHR125660.1, CARHR125670.1","Carub.0001s1342.1.p, Carub.0003s2506.1.p, Carub.0006s0880.1.p, Carub.0006s1692.1.p",,,"gene-TAV2_LOCUS1254, gene-TAV2_LOCUS1286, gene-TAV2_LOCUS203, gene-TAV2_LOCUS3216, gene-TAV2_LOCUS3419, gene-TAV2_LOCUS3581, gene-TAV2_LOCUS3582, gene-TAV2_LOCUS3900, gene-TAV2_LOCUS938"
AT1G12490,AT1G12490.1,,"AT1G09650.1, AT1G11270.2, AT1G12490.1, AT2G34280.1, AT4G01640.1, AT5G10340.1",,"CARHR011460.1, CARHR124000.1, CARHR125660.1, CARHR125670.1","Carub.0001s1342.1.p, Carub.0003s2506.1.p, Carub.0006s0880.1.p, Carub.0006s1692.1.p",,,"gene-TAV2_LOCUS1254, gene-TAV2_LOCUS1286, gene-TAV2_LOCUS203, gene-TAV2_LOCUS3216, gene-TAV2_LOCUS3419, gene-TAV2_LOCUS3581, gene-TAV2_LOCUS3582, gene-TAV2_LOCUS3900, gene-TAV2_LOCUS938"
AT1G14315,AT1G14315.2,,,,,,,,
AT2G34280,AT2G34280.1,,"AT1G09650.1, AT1G11270.2, AT1G12490.1, AT2G34280.1, AT4G01640.1, AT5G10340.1",,"CARHR011460.1, CARHR124000.1, CARHR125660.1, CARHR125670.1","Carub.0001s1342.1.p, Carub.0003s2506.1.p, Carub.0006s0880.1.p, Carub.0006s1692.1.p",,,"gene-TAV2_LOCUS1254, gene-TAV2_LOCUS1286, gene-TAV2_LOCUS203, gene-TAV2_LOCUS3216, gene-TAV2_LOCUS3419, gene-TAV2_LOCUS3581, gene-TAV2_LOCUS3582, gene-TAV2_LOCUS3900, gene-TAV2_LOCUS938"
AT4G01640,AT4G01640.1,,"AT1G09650.1, AT1G11270.2, AT1G12490.1, AT2G34280.1, AT4G01640.1, AT5G10340.1",,"CARHR011460.1, CARHR124000.1, CARHR125660.1, CARHR125670.1","Carub.0001s1342.1.p, Carub.0003s2506.1.p, Carub.0006s0880.1.p, Carub.0006s1692.1.p",,,"gene-TAV2_LOCUS1254, gene-TAV2_LOCUS1286, gene-TAV2_LOCUS203, gene-TAV2_LOCUS3216, gene-TAV2_LOCUS3419, gene-TAV2_LOCUS3581, gene-TAV2_LOCUS3582, gene-TAV2_LOCUS3900, gene-TAV2_LOCUS938"
AT5G10340,AT5G10340.1,,"AT1G09650.1, AT1G11270.2, AT1G12490.1, AT2G34280.1, AT4G01640.1, AT5G10340.1",,"CARHR011460.1, CARHR124000.1, CARHR125660.1, CARHR125670.1","Carub.0001s1342.1.p, Carub.0003s2506.1.p, Carub.0006s0880.1.p, Carub.0006s1692.1.p",,,"gene-TAV2_LOCUS1254, gene-TAV2_LOCUS1286, gene-TAV2_LOCUS203, gene-TAV2_LOCUS3216, gene-TAV2_LOCUS3419, gene-TAV2_LOCUS3581, gene-TAV2_LOCUS3582, gene-TAV2_LOCUS3900, gene-TAV2_LOCUS938"
AT5G16285,AT5G16285.1,,,,,,,,
PKP4,AT3G49160.1,"Aa31LG4G17600, Aa31LG4G17600",AT3G49160.1,,CARHR158030.1,Carub.0005s1539.1.p,,,gene-TAV2_LOCUS18157
PCMP-H90,AT5G13270.1,Aa31LG3G14390,AT5G13270.1,,CARHR200180.1,Carub.0006s1144.1.p,,,
DYW9,AT4G30700.1,Aa31LG2G19660,AT4G30700.1,,CARHR238580.1,Carub.0007s0976.1.p,,,
AT3G49140,AT3G49140.1,,AT3G49140.1,,CARHR157980.1,Carub.0005s1537.1.p,,,gene-TAV2_LOCUS18156
PCMP-H1,AT4G15720.1,Aa31LG10G6420,AT4G15720.1,,CARHR290120.1,Carub.0007s2601.1.p,,,gene-TAV2_LOCUS23907
AT1G74640,AT1G74640.1,Aa31LG4G4870,AT1G74640.1,,CARHR067910.1,Carub.0002s2143.1.p,,,gene-TAV2_LOCUS17921
AT1G11810,AT1G11810.1,,"AT1G11810.1, AT3G13830.1",,CARHR088600.1,Carub.0003s1337.1.p,,,
AT1G24800,AT1G24800.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s2536.1.p, Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0005s1584.1.p",,,
AT1G24881,AT1G24881.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s2536.1.p, Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0005s1584.1.p",,,
AT1G25055,AT1G25055.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s2536.1.p, Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0005s1584.1.p",,,
AT1G25141,AT1G25141.1,,,,,,,,
AT1G25150,AT1G25150.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s2536.1.p, Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0005s1584.1.p",,,
AT1G25211,AT1G25211.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s2536.1.p, Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0005s1584.1.p",,,
